Key,Ukrainian
Languages,Мови
Languages installed successfully,Мови встановлено успішно
Last updated,Останнє оновлення
Last updated from collection:,Останнє оновлення з колекції:
Latitude,Широта
Latitude must be between -90 and 90,Широта повинна бути в межах від -90 до 90
Learn how to add and configure a contact form on a webpage.,"Дізнайтеся, як додати та налаштувати контактну форму на веб-сторінці."
Learn how to build your first collection,"Дізнайтеся, як створити свою першу колекцію"
Learn more,Дізнатися більше
Learn more about the components.,Дізнайтеся більше про компоненти.
Legend,Підпис
Lengthy reindex process,Тривалий процес реіндексації
Library,Бібліотека
library list view,перегляд бібліотеки у вигляді списку
library map view,перегляд бібліотеки у вигляді карти
library table view,перегляд бібліотеки у табличному вигляді
Light,Світла
Light Theme,Світла тема
Link,Посилання
linked,пов'язаний
List,Список
List renders as a table. Use the options below to filter empty or zero values.,"Список відображається у вигляді таблиці. Скористайтеся наведеними нижче параметрами, щоб відфільтрувати порожні або нульові значення."
Live preview,Попередній перегляд у реальному часі
Live translate,Прямий переклад
Load,Завантажити
Load example,Завантажити приклад
Load more,Завантажити ще
Loading,Завантаження
Local time,Місцевий час
Login,Увійти
Login button,Кнопка входу
Login failed,Помилка авторизації
Logout,Вийти
Longitude,Довгота
Longitude must be between -180 and 180,Довгота повинна бути в межах від -180 до 180
Lookup help,Довідка щодо пошуку
Lost connection to the server. Your changes may be lost,Втрачено зв'язок з сервером. Ваші зміни можуть бути втрачені
low,низький
Manage relationship types,Управління типами зв’язків
Manage site settings and configuration,Керування сайтом і конфігурація
Manage types,Управління типами
Manual data,Дані введено вручну
Manually set a color,Встановити колір вручну
Map,Карта
Map api key,Ключ API карти
Map API key,Ключ API карти
Map api key tooltip,Для використання Mapbox або Google Maps потрібен ключ API.
Map Layers,Шари карти
Map layers description,Опис шарів карти
Map Provider,Постачальник карт
Map view,Перегляд карти
Mapbox,Mapbox
Mapping conflict error,"Необхідно провести реіндексацію вашої колекції. Причина може бути різною
        -- від певних змін у властивостях шаблону до нових полів
        які потрібно заповнити в різних сутностях.
        Цей процес не матиме негативного впливу на дані у вашій колекції.
        Він може тривати кілька хвилин, і деяким частинам вашої колекції може знадобитися
        деякий час, щоб знову з'явитися в Бібліотеці, але це тимчасово. Ви хочете продовжити?"
Maps,Карти
Mark as Reviewed,Позначити як Переглянуто
Mark as reviewed,Позначити як переглянуто
Markdown,Markdown
"Markdown support in custom pages will be discontinued starting in 2027. Upgrade this page
          when its content no longer relies on Markdown syntax.","Підтримка Markdown на користувацьких сторінках буде припинена з 2027 року. Оновіть цю сторінку,
коли її вміст більше не буде залежати від синтаксису Markdown."
marked and labeled,марковані та етикетовані
marked for training,позначені для навчання
Marked for training + all labeled entries,Позначено для навчання + всі позначені записи
Marked for training only,Позначено тільки для навчання
Match,Матч
match,збіг
match verbatim,дослівно відповідати
matches,збіги
"matches jurisdiction, jurists, jurisprudence","відповідає поняттям ""юрисдикція"", ""юристи"", ""юриспруденція"""
Matches show the passage and the page they are on.,"У результатах пошуку вказано уривок та сторінку, на якій він знаходиться."
Matching,Відповідність
matching,відповідність
Matomo,Матомо.
Members,Учасники
Menu,Меню
Message,Повідомлення
Message sent,Повідомлення надіслано
Metadata,Метадані
Metadata Extraction,Видобування метаданих
"Metric shows a single total count. Select Pie, Bar, or another chart type above to
            configure categories, labels, and slices. Use the Appearance tab for colors.","Діаграма ""Метрика"" відображає загальну кількість. Виберіть вище тип діаграми — ""Кругова"", ""Стовпчаста"" або інший, щоб
 налаштувати категорії, мітки та сегменти. Для налаштування кольорів скористайтеся вкладкою ""Зовнішній вигляд""."
MIGRATE,МІГРУВАТИ
Minimum,Мінімум
Mismatch,Невідповідність
mismatched passwords,Паролі не збігаються
mismatching,невідповідність
Mixed access,Доступ змішаного типу
ML TOC,Зміст для машинного навчання
Modified,Змінено
Month,Місяць
Months,Місяці
More,Більше
more,далі
more options.,більше опцій.
More rows per screen; same type size,Більше рядків на екрані — той самий розмір шрифту
Multi-source mode,Режим роботи з декількома джерелами
Multiple date,Кілька дат
Multiple date range,Діапазон кількох дат
Multiple inherited properties warning ([property 1] affects [property 2]),впливає
Multiple matches found,Знайдено кілька збігів
Multiple relationships edit description,"Внесення змін до цієї властивості вплине на інші властивості цього шаблону, оскільки всі вони мають спільні зв'язки з тією самою конфігурацією."
Multiple select,Вибрати з кількох варіантів
Name,Ім’я
Name is required,Потрібне ім'я
Name is too long,Ім'я занадто довге
Name is too short,Ім'я занадто коротке
Narrow down your searches,Звузьте область свого пошуку
"Narrow entities before aggregation. With multiple sources, pick the property under the
        source alias so each filter applies only to that series.","Перед агрегацією слід звузити об’єкти. У разі наявності декількох джерел слід вибрати властивість під
псевдонімом джерела, щоб кожен фільтр застосовувався лише до цього ряду даних."
Narrow your search,Обмежити свій пошук
Navigate back,Повернутися назад
Navigation menu tool tip part 1,"Якщо це внутрішня URL-адреса на цьому веб-сайті, обов'язково видаліть першу частину"
Navigation menu tool tip part 2,"залишивши лише відносну URL-адресу, що починається з косої риски. Тобто. /деяка_адреса."
New,Новий
New activity will show up here.,Нові події з’являтимуться саме тут.
New conversation,Нова розмова
New entity,Новий об'єкт
New group,Нова група
New language added,Додано нову мову
New page,Нова сторінка
New password,Новий пароль
New primary doc,Новий первинний документ
New relation type label…,Нова назва типу зв’язку…
New relationship type,Новий тип відносин
New relationships group,Група нових взаємозв'язків
New Relationships Migration,Нові стосунки Міграція Міграція
New user,Новий користувач
Next,Наступний
No,Ні
No attachments,Немає вкладень
No audio or video on this entity,У цьому об’єкті немає аудіо чи відео
No chart types match your search.,Жоден тип діаграми не відповідає вашому запиту.
No common filters,Немає спільних фільтрів
No connected entities yet.,Поки що немає пов’язаних об’єктів.
No Connections,Немає зв'язків
No Connections description,Зв'язки - це прямі відносини між цим документом та іншими документами і сутностями.
No context,Без контексту
No CSVs yet,CSV-файлів поки що немає
No data,Даних немає
NO DATA AVAILABLE,НЕМАЄ ДАНИХ
No entities found,Об’єктів не знайдено
NO EXTRACTORS,ЖОДНИХ ЕКСПРАКТОРІВ
No files available,Файлів немає
No files queued yet.,У черзі поки що немає файлів.
no filters for templates,Комбінація типів сутностей не має спільних фільтрів.
No Group,Немає групи
No icon / flag,Немає піктограми / прапорця
No images on this entity,У цьому об’єкті немає зображень
No items available,Немає товарів у наявності
No Label,Немає мітки
No label,Без етикетки
No matches for,Не знайдено результатів для
No matches.,Результатів не знайдено.
No matching entities.,Відповідних об’єктів не знайдено.
No media selected,Медіафайл не обрано
No metadata for this entity yet.,Метаданих для цього об’єкта поки що немає.
No options,Без варіантів
No options found,Варіантів не знайдено
No page,Сторінка відсутня
No people or groups added yet,Поки що не додано жодних осіб чи груп
No primary documents,Первинних документів немає
No primary documents yet. Add a file to get started.,"Поки що немає первинних документів. Додайте файл, щоб розпочати роботу."
No property,Товар не має цієї властивості
No References,Немає посилань
No References description,"Посилання - це частини цього документа, пов'язані з іншими документами та об'єктами."
No relationship types,Відсутні типи зв’язків
No Relationships,Немає взаємозв'язків
No Relationships description,Відносини - це зв'язки між суб'єктами.
No relationships found,Не знайдено жодних зв’язків
No relationships to graph,Немає зв’язків для відображення на графі
No releases yet,Поки що немає версій
No results found,Результатів не знайдено
No supporting files yet. Add a file to get started.,"Поки що немає супровідних файлів. Додайте файл, щоб розпочати роботу."
No table of contents,Немає змісту
No Table of contents,Зміст відсутній
No table of contents description,Ви можете почати з виділення тексту в документі та натискання кнопки Додати до змісту.
No templates available to add.,Шаблонів для додавання немає.
No text match,"Немає тексту, що збігається"
No text match description,"Ви можете ввести щось інше в поле пошуку, щоб отримати деякі результати."
No timelinks added,Посилання на час не додано
No translation in,Перекладу немає
No type,Немає типу
No uploaded images fit the requirements,"Жодне із завантажених зображень не відповідає цим вимогам щодо розміру. Завантажте нове зображення або скористайтеся редактором, щоб змінити розмір існуючого файлу."
No user or group found,Не знайдено жодного користувача чи групи
No valid target template available,Відсутній правильний шаблон цілі
No value,Немає значення
No Value,Немає значення
No visualization data available.,Дані для візуалізації відсутні.
"No, cancel","Ні, скасуй."
no-toc-description,"Для початку можна виділити текст у документі та натиснути кнопку ""Додати до
змісту""."
Non processed,Не оброблений
Non-labeled,Без маркування
Non-latin characters support,Підтримка нелатинських символів
None,Немає
Normal view,Нормальний вигляд
Not already been use as source template in another extractor,Не використовувався як вихідний шаблон в іншому екстракторі
Not already been use as target template,Ще не використовувався як цільовий шаблон
Not Found,Не знайдено
Nothing here yet.,Тут поки що нічого немає.
Nothing selected,Нічого не вибрано
Notifications,Повідомлення
Obsolete,Застарілий
obsolete,застарілий
OCR,Оптичне розпізнавання символів
OCR button tip,"Це запустить обробку документа, щоб розпізнати текст. Вихідний файл буде доданий в якості супровідного файлу."
OCR completed,Оптичне розпізнавання символів завершено
OCR description tip 1,"Це активує функцію оптичного розпізнавання символів (OCR) для документів PDF. Цей сервіс розпізнає текст усередині таких зображень, як відскановані документи та фотографії, а потім перетворює текст на машиночитані текстові дані."
OCR description tip 2,під час активації це дозволить користувачам-адміністраторам і користувачам-редакторам надсилати документи PDF до служби оптичного розпізнавання символів.
OCR error,Помилка оптичного розпізнавання символів
OCR error tip,модуль оптичного розпізнавання символів не зміг прочитати документ через неправильно сформований формат. Останнє оновлення
OCR PDF,Оптичне розпізнавання символів PDF
of,з
Ok,Гаразд
OK,ГАРАЗД.
On this entity,На цьому об’єкті
one character,один символ
Only essential,Тільки найнеобхідніше
"Only properties with the same name and configuration in every data source are available
            for both dimensions.","Для обох вимірів доступні лише об’єкти, що мають однакову назву та конфігурацію у кожному джерелі даних
."
Only published entities are counted.,До підрахунку беруться лише опубліковані об’єкти.
"Only templates that are not used as source in any other extractor and are not
                selected as target in this extractor are available for selection.","Доступні лише шаблони, які не використовуються як джерело в інших екстракторах і не
                вибрані як ціль у цьому екстракторі, доступні для вибору."
"Only templates with at least one rich text property and one numeric property are
                available for selection.","Доступні лише шаблони з принаймні однією властивістю розширеного тексту та однією числовою властивістю
                доступні для вибору."
"Only the extractor will be deleted, all created entities will remain on the library.","Буде видалено лише розпакувальник, всі створені сутності залишаться у бібліотеці."
Open,Відкрито
Open entity,Відкрити об’єкт
Open group,Відкрита група
Open link,Відкрити посилання
Open PDF,Відкрити PDF
Open the two-factor Authenticator app on your device,Відкрийте застосунок Authenticator для двохетапної автентифікації на вашому пристрої
Options,Параметри
or,або
or drag and drop here,або перетягніть сюди
or drop your files here.,або опустіть свої файли сюди.
Or paste a URL,Або вставте URL-адресу
Order,Порядок
Other,Інший
other,Інший
Other users will be affected by this action!,Ця дія вплине на інших користувачів!
Others,Інші
Outgoing,Вихідні
p.,с.
Page,Сторінка
Page not found,Сторінку не знайдено
Page published successfully.,Сторінка успішно опублікована.
Pages,Сторінки
Paragrap number extraction property (numeric),Властивість вилучення номера абзацу (числова)
Paragraph,Абзац
Paragraph Extraction,Вилучення абзацу
Paragraph Extractor added,Додано екстрактор абзаців
Paragraph text extraction property (rich text),Властивість вилучення тексту абзацу (розширений текст)
Paragraphs,Абзаци
Paragraphs deleted,Абзаци вилучено
parties,сторони
Password,Пароль
Password + 2fa,Пароль + 2fa
Password changed success,Успішно змінено пароль
Password is too long,Пароль занадто довгий
Passwords do not match,Паролі не збігаються
Paste an audio or video URL to use it as this property without uploading a file. Press Enter to apply.,"Вставте URL-адресу аудіо- або відеофайлу, щоб використовувати її як значення цієї властивості без завантаження файлу. Натисніть Enter, щоб застосувати."
Paste an image URL to use it as this property without uploading a file. Press Enter to apply.,"Вставте URL-адресу зображення, щоб використовувати його як значення цієї властивості без завантаження файлу. Натисніть Enter, щоб застосувати."
Paste this tag in a page HTML. The chart uses the page language.,Вставте цей тег у HTML-код сторінки. Діаграма відображається мовою сторінки.
Paste URL,Вставте URL-адресу
Paste URL here,Вставте URL-адресу сюди
PDF,PDF
Pending,На розгляді
People and groups,Люди та групи
per page,на сторінку
Permission,Дозвіл
Permission level,Рівень доступу
Permission on entities explicitly shared with the user,"Дозвіл на об'єкти, якими поділилися з користувачем"
Permissions,Дозволи
Permissions updated,Оновлено права доступу
Pick a color,Виберіть колір
Pick another,Виберіть інший
Plain text,Звичайний текст
Please contact an admin for details.,"Будь ласка, зв'яжіться з адміністратором, щоб з'ясувати деталі."
Please type in,"Будь ласка, введіть"
Please type in letters and numbers from the image to start the export.,"Будь ласка, введіть літери та цифри з зображення, щоб розпочати експорт."
Pre-filled from your selection. Edit as needed.,Попередньо заповнено відповідно до вашого вибору. Відредагуйте за потреби.
Preflight scan completed.,Попереднє сканування завершено.
Preparing required relationships.,Підготовка необхідних зв’язків.
Preparing required thesauri values.,Підготовка необхідних значень тезаурусу.
Preserve,Заповідник
Preserve Extension,Зберегти розширення
Preserve Setup Description,"Якщо ви знаєте свій Uwazi URL і TOKEN, перейдіть за посиланням нижче і заповніть необхідну інформацію."
Press enter to add,"Натисніть Enter, щоб додати"
Preview,Попередній перегляд
Preview updates automatically (300ms debounce),Попередній перегляд оновлюється автоматично (затримка 300 мс)
Preview updates when the JSON is valid.,"Попередній перегляд оновлюється, якщо JSON дійсний."
Previous,Попередній
Primary,Первинна
Primary button,Головна кнопка
Primary document,Первинний документ
Primary Documents,Основні документи
Primary documents,Первинні документи
Priority sorting,Пріоритетне сортування
Priority sorting description,"Властивості, позначені як пріоритетні, будуть використані як критерії сортування за замовчуванням. Якщо більше однієї властивості позначено як пріоритетне сортування, система спробує підібрати найкращий варіант. При перерахуванні змішаних типів шаблонів система підбере найкращий комбінований варіант сортування за пріоритетами."
Private,Приватне
Private entities description,Увага: вибрані сутності будуть **приватними**. Лише дозволені користувачі зможуть їх бачити.
Process,Процес
Process extractor,Технологічний екстрактор
Process selected,Вибрано процес
Processed,Оброблено
Processed rows,Оброблені рядки
Processing,Обробка
Progress,Прогрес
Properties,Властивості
Properties from other templates in the collection using the same label,"Властивості з інших шаблонів у колекціях, які використовують цю ж мітку"
Properties from other templates in the collection using the same label.,"Властивості з інших шаблонів у колекції, що використовують ту саму мітку."
"Properties marked as priority sorting will be used as default sorting criteria. If more than one property is marked as priority sorting the system will try to pick-up the best fit. When listing mixed template types, the system will pick-up the best combined priority sorting.","Властивості, позначені як пріоритетні, будуть використані як критерії сортування за замовчуванням. Якщо більше однієї властивості позначено як пріоритетне сортування, система спробує підібрати найкращий варіант. При перерахуванні змішаних типів шаблонів система підбере найкращий комбінований варіант сортування за пріоритетами."
Property,Власність
Property as filter description,"Ця властивість буде використовуватися для фільтрації результатів бібліотеки. Якщо властивості збігаються за назвою та типом поля з іншими типами сутностей, вони будуть об'єднані для фільтрації."
property date,Дата
property daterange,Діапазон дат
property generatedid,Згенерований ідентифікатор
property geolocation,Геолокація
property image,Зображення
property link,Посилання
property markdown,Розширений текст
property media,Медіа
property multidate,Кілька дат
property multidaterange,Кілька діапазонів дат
property multiselect,Багаторазовий вибір
property numeric,Числовий
property preview,Попередній перегляд
property relationship,Відносини
property select,Виберіть
property text,Текст
Property type,Тип нерухомості
Protection,Захист
ProTip!,Професійна підказка!
"Provide chart-ready data as JSON. Each series needs id, label, and a points array with
              label and value per row. Optional key on points helps stable colors.","Надайте дані у форматі JSON, готові для побудови діаграми. Кожен ряд повинен містити ідентифікатор, мітку та масив точок, у якому
кожен рядок містить мітку та значення. Опціональний ключ у масиві точок допомагає забезпечити стабільність кольорів."
Public entities description,Увага: вибрані організації будуть **публічними**. Їх зможе побачити будь-хто.
Public form settings description,Тут ви можете налаштувати призначення публічної форми та шаблони білого списку
Public Form submit URL,Публічна форма надсилання URL-адреси
Public form URL description,"Якщо ви налаштували публічну форму і хочете, щоб інша колекція Uwazi отримувала заявки, введіть URL-адресу цієї колекції тут."
Public form whitelist description,"Якщо ви хочете включити публічні форми на свої сторінки, ви повинні додати ідентифікатори шаблонів, для яких очікуються публічні форми, до білого списку."
Public instance,Публічний екземпляр
Publish,Опублікувати
Publish release,Опублікувати реліз
Published,У відкритому доступі
Published and unpublished entities are counted.,"До підрахунку включаються як опубліковані, так і неопубліковані об’єкти."
QR Code,QR-код
Query,Запит
Queued,У черзі
RAW,RAW
"Re-runs the query against your current collection. Use this after importing
                        or editing entities—not when changing chart settings (save handles that).","Повторно виконує запит щодо вашої поточної колекції. Використовуйте цю функцію після імпорту
або редагування об’єктів — але не під час зміни налаштувань діаграми (це робить функція ""Зберегти"")."
Re-uploaded document,Перезавантажений документ
Ready,Готово
Receiving email,Електронна пошта одержувача
Receiving email description,"Якщо у вас є контактна форма, це адреса електронної пошти, на яку ви будете отримувати відповіді."
Recommended,Рекомендовано
Reference,Посилання
References,Посилання
references,посилання
Refresh,Оновити
"Refresh manually when you have added data and cannot wait for the next
                        scheduled run.","Оновіть сторінку вручну, якщо ви додали дані і не можете чекати наступного
запланованого запуску."
Refresh mode,Режим оновлення
Reject,Відхилити
Reject all,Відхилити всі
Related entities created,Створено пов’язані об’єкти
Relation type,Тип відношення
Relationship,Взаємозв'язок
Relationship created,Створено зв’язок
Relationship Type,Тип взаємозв'язків
Relationship type,Тип зв'язку
Relationship type created successfully.,Тип зв'язку створено успішно.
Relationship type name,Назва типу відношення
Relationship type name already exists,Назва типу зв'язку вже існує
Relationship types,Тип взаємозв'язку
relationships,Взаємозв'язки
Relationships,Взаємозв'язки
Relationships saved,Відносини збережені
relationships? This action cannot be undone.,зв’язки? Цю дію неможливо скасувати.
RelationType saved,Тип взаємозв'язку збережено
Release message,Повідомлення про випуск
Relevance,Актуальність
remaining,решта
remaining files,решта файлів
Remote Server Unreachable,Віддалений сервер недоступний
Remove,Видалити
Remove from connection,Видалити зі зв’язку
Remove from training set,Видалити з тренувального набору
remove icon,видалити піктограму
Remove icon,Видалити піктограму
Removed language,Вилучена мова
Rename,Перейменувати
Renamed attachment,Перейменовано вкладення
Repeat Password,Повторіть пароль
Request id #,Запит ID #
Request token,Токен запиту
Required,Потрібно
Required property,Необхідна властивість
Required relationships were prepared.,Було підготовлено необхідні зв’язки.
Required thesauri values were prepared.,Було підготовлено необхідні значення тезаурусу.
Reset,Скидання
Reset 2FA,Скинути 2FA
Reset default translation,Скинути переклад за замовчуванням
Reset language,Скинути мову
Reset Password,Скинути пароль
Reset passwords,Скидання паролів
Resize panels,Змінити розмір панелей
Restore,Відновити
Restore previous version,Відновити попередню версію
Restricted,Для обмеженого кола осіб
Retryable,Можливість повторної спроби
Retrying,Повторна спроба
Return to login,Повернутись до авторизації
Review,Огляд
Reviewed,Переглянуто
Role,Роль
Room around every row,Більше простору навколо кожного рядка
Route,Маршрут
Row,Гребіть!
Row density,Щільність рядів
Rows failed,Помилки в рядках
Rows processed,Кількість оброблених рядків
Sample,Зразок
Satellite,Супутник
Save,Зберегти
Save & Preview,Зберегти та переглянути
Save changes,Зберегти зміни
Save password,Зберегти пароль
Save the visualization before refreshing.,Збережіть візуалізацію перед оновленням.
Save the visualization to get embed code.,"Збережіть візуалізацію, щоб отримати код для вбудовування."
Save your work to make change permanent,"Збережіть свою роботу, щоб зробити зміни постійними"
Saved successfully.,Врятовано успішно.
Saved with warnings,Збережено з попередженнями
Saving,Збереження
Saving...,Збереження...
Scanning,Сканування
Scanning rows before import.,Сканування рядків перед імпортом.
Schedule,Розклад
Schedules run in UTC (Coordinated Universal Time).,Розклади вказані за UTC (універсальний координований час).
Search,Шукати
"Search  •  AND, OR, NOT, ""exact"", wild*","Пошук  •  AND, OR, NOT, ""точний"", підстановка*"
Search by title,Пошук за назвою
Search entities...,Пошук об’єктів...
Search entities…,Пошук об’єктів…
Search item,Шукати предмет
Search related entities or documents,Шукати взаємопов'язані об'єкти та документи
Search relationships,Пошук зв’язків
Search relevance,Релевантність пошуку
Search text,Пошук за текстом
Search text description,"Введіть щось у вікні пошуку, щоб отримати результати."
Search this document,Пошук у цьому документі
Search Tips,Пошук порад
Search tips,Поради щодо пошуку
Search Tips: boolean,"AND, OR і NOT для логічного пошуку. Тобто ""статус AND жінки NOT Нікарагуа"" знайде все, що містить обидва слова ""статус"" і ""жінки"", і обов'язково не містить слова ""Нікарагуа""."
Search Tips: exact term,"Точна відповідність терміну, взявши рядок пошуку в лапки. Наприклад, ""Коста-Ріка"" дасть інші результати, ніж Коста-Ріка без лапок."
Search Tips: one char wildcard,"? для одного символу підстановки. Тобто: ""198?"" буде відповідати 1980-1989 рокам, а також 198a, 198b і т.д."
Search Tips: proximity,"~ для пошуку за близькістю слів. Тобто: ""правовий статус""~5 знайде все, що має ""правовий"" і ""статус"" на відстані 5 слів, наприклад ""правовий процесуальний статус"", ""правовий та соціальний статус""."
Search Tips: wildcard,"Використовуйте * для пошуку за шаблоном. Наприклад: ""юрис*"" буде відповідати таким словам, як юрисдикція, юрисдикційний, юристи, юриспруденція тощо."
Search title & metadata,Пошук за назвою та метаданими
Searching...,Пошук...
Secondary button,Додаткова кнопка
Secret keys,Секретні ключі
Security,Безпека
Select,Виберіть
Select & Search,Вибір та пошук
"Select a dimension to see supported chart types, or use Metric for a total count.","Виберіть параметр, щоб переглянути типи діаграм, що підтримуються, або скористайтеся параметром ""Показник"", щоб отримати загальну кількість."
Select a document to connect to a specific paragraph,"Виберіть документ, щоб перейти до конкретного абзацу"
Select a file,Виберіть файл
Select all,Вибрати все
Select an existing image,Виберіть існуюче зображення
Select favicon image,Вибрати зображення фавікону
Select files on your device,Вибрати файли на вашому пристрої
Select from computer,Виберіть з комп'ютера
Select image,Виберіть зображення
Select media,Виберіть медіафайл
Select relationship,Вибрати зв'язок
Select relationship type,Виберіть тип взаємозв'язків
Select site logo image,Вибрати зображення логотипу сайту
Select target document,Виберіть документ-ціль
Select target entity,Виберіть об’єкт призначення
Select target paragraph,Виберіть цільовий абзац
Select text in target document,Виділіть текст у цільовому документі
select text or a value,вибрати текст або значення
Select the template to store the extracted paragraphs.,Виберіть шаблон для збереження вилучених абзаців.
Select the template with the source documents.,Виберіть шаблон з вихідними документами.
Select...,Вибрати...
Selected,Вибране
selected,вибраний
selected of,вибраний із
Selected or suggested,Вибрані або запропоновані
Selected templates,Вибрані шаблони
Send,Відправити
Send recovery email,Відправити лист для відновлення на електронну пошту
Sending email,Електронна пошта відправника
Sending email description,"Це адреса електронної пошти, яка буде вказана як відправник при надсиланні листа з вашої колекції Uwazi зареєстрованим користувачам. Адреса за замовчуванням - *no-reply@uwazi.io*. Ви можете встановити власну, ввівши тут бажану адресу електронної пошти."
Sending labeled data,Відправлення маркованих даних
Series,Серія
Services,Послуги
Set as default,Встановити за замовчуванням
Set default language,Встановити мову за замовчуванням
Set default template,Встановити шаблон за замовчуванням
Set the default starting point for your geolocation properties.,Встановити відправну точку за замовчуванням для своїх властивостей геолокації.
Settings,Налаштування
settings,налаштування
Settings navigation active background,Навігація по налаштуваннях: активний фон
Settings sidebar background,Фон бічної панелі налаштувань
Settings updated,Налаштування оновлено
Share,Поширити
Share edit access with other users,Діліться доступом до редагування з іншими користувачами
Share entities with the public,Діліться організаціями з громадськістю
Share with people and groups,Поділитися з людьми та групами
Shared as editor,Поширено для редагування
Shared as viewer,Поширено для перегляду
Show actions,Показати дії
Show cookie policy,Показати політику cookie
Show details,Показати деталі
Show filters,Показати фільтри
Show in cards,Показати в картках
Show information,Показати інформацію
Show less,Показати менше
Show more,Показати більше
Show remaining in panel,Показати залишок у панелі
Show toolbar,Показати панель інструментів
Showing,Показати
Showing the top,Показано найпопулярніші
shown of,показано від
Sign in,Увійти
Simple mode,Простий режим
Single relationships must have a hub,Одинокі стосунки повинні мати центр
Site logo description,"Логотип відображається у верхній панелі поруч із назвою вашої колекції (близько 200×32 пікселів).

1. За потреби завантажте зображення в Користувацькі завантаження.
2. Натисніть ""Вибрати зображення логотипу сайту"" і оберіть файл; показуються лише зображення з Користувацьких завантажень."
Site logo no images hint,"Поки немає файлів зображень у Користувацьких завантаженнях. Спочатку додайте зображення PNG, SVG або JPEG."
Size,Розмір
Skip to main content,Перейти до основного змісту
Some tasks may take a while. Bert will reply when it's done.,"Деякі завдання можуть зайняти деякий час. Bert відповість, коли все буде готово."
Something went wrong,Щось пішло не так
Sort,Сортувати
Sort ascending,Сортування за зростанням
Sort descending,Сортування за спаданням
Sort:,Сортувати:
sorted by,відсортовано за
Source,Джерело
Source entity,Об’єкт-джерело
Source page,Сторінка-джерело
Source relationship type,Тип вихідного відношення
Source template,Вихідний шаблон
Source Template,Вихідний шаблон
Source's role in the relationship Source-Target.,Роль джерела у відносинах Джерело-Ціль.
Stage,Етап
stat*,stat*
State,Держава
Statistics,Статистика
Stats & Filters,Статистика та фільтри
Status,Статус
status AND women NOT Nicaragua,статус AND жінки NOT Нікарагуа
Stop filling,Припиніть наповнювати
Storage,Зберігання
Streets,Вулиці
Strict mode,Суворий режим
Style,Стиль
Submit,Відправити
Submitted entity to a remote instance,Відправлено сутність до віддаленого екземпляра
Submitting,Відправляється
Success,Успіх
"Success, Upload another?","Успішно, завантажити ще?"
Suggestion,Пропозиція
Suggestion:,Пропозиція:
Suggestions,Запропоновані варіанти
suggestions,пропозиції
Suggestions sent,Пропозиції надіслані
Suggestions updated,Оновлено пропозиції
Supported chart types for manual data,"Підтримувані типи діаграм для даних, що вводяться вручну"
Supported chart types for this configuration,"Типи діаграм, що підтримуються для цієї конфігурації"
Supporting,Супровідна
Supporting file,Супровідний файл
Supporting files,Супровідні файли
Synced template,Синхронізований шаблон
Synced Template,Синхронізований шаблон
Synced templates cannot be deleted.,Синхронізовані шаблони не можна видалити.
System translations,Системні переклади
Table,Таблиця
Table of Contents,Зміст
Table of contents,Зміст
Table of contents saved successfully,Зміст збережено успішно
Table view,Табличний вигляд
Target entity,Цільовий об’єкт
Target entity type,Тип цільового об’єкта
Target relationship type,Тип цільового зв'язку
Target Template,Шаблон цілі
Target template,Шаблон цілі
Target's role in the relationship Source-Target.,Роль мішені у відносинах Джерело-Ціль.
Target:,Ціль:
Tasks,Завдання
Template,Шаблон
Template changes are being applied to all related entities.,Зміни шаблону застосовуються до всіх пов'язаних сутностей.
Template color,Колір шаблону
"Template colors apply when comparing data sources or when the dimension is entity
              type. Otherwise the chart palette is used as fallback.","Кольори шаблону застосовуються під час порівняння джерел даних або якщо вимір має тип ""об’єкт"".
В інших випадках як запасний варіант використовується палітра діаграми."
Template conflict,Конфлікт шаблонів
Template name,Назва шаблону
Template name already exists,Ім'я шаблону вже існує
Template processing completed.,Обробка шаблону завершена.
Template saved successfully.,Шаблон успішно збережено.
Template with a long number of entities,"Шаблон змінився, і пов'язані з ним сутності будуть переіндексовані,
       цей процес може зайняти кілька хвилин, ви хочете продовжити?"
Template(s),Шаблон(и)
Template(s) deleted successfully.,Шаблон(и) успішно видалено.
Templates,Шаблони
Templates:,Шаблони:
Text,Текст
Text references limit warning,Кількість текстових посилань тимчасово обмежена до 300. Наразі ми працюємо над виправленням цієї проблеми.
"The process of extracting the paragraphs has successfully started. Check the Status
              column for updates on the process.","Процес вилучення абзаців успішно розпочато. Перевірте стовпчик Статус
              для отримання інформації про хід процесу."
The request could not be processed.,Запит не вдалося обробити.
The source of this template is a sync.,Джерелом цього шаблону є синхронізація.
The token does not validate against the secret key,Токен не перевіряється за допомогою секретного ключа
The token does not validate against the secret key!,Токен не перевіряється за допомогою секретного ключа!
"the words together, in that order","ці слова разом, саме в такому порядку"
the words within 5 of each other,"слова, що знаходяться на відстані не більше 5 один від одного"
Theme and branding,Тема та брендинг
Theme colors,Кольори теми
Theme colors imported,Імпортовано кольори теми
Theme favicon,Фавікон теми
Theme instance file invalid,Файл екземпляра теми є недійсним
Theme logotype,Логотип теми
Theme presets,Готові теми
Theme preview,Попередній перегляд теми
Then by,Потім за
There are no pages enabled for entity view,"Немає сторінок з можливостями, які надаються для перегляду об'єкта"
There are no untranslated terms,Немає неперекладених термінів
Thesauri,Предметний покажчик
Thesauri added.,Тезауруси додали.
Thesauri deleted,Тезауруси видалено
