Key,Polish
Manually set a color,Ustaw kolor ręcznie
Map,Mapa
Map api key,Klucz API mapy
Map API key,Klucz API mapy
Map api key tooltip,Klucz API jest wymagany do korzystania z Mapbox lub Google Maps.
Map Layers,Warstwy mapy
Map layers description,Opis warstw mapy
Map Provider,Dostawca map
Map view,Widok mapy
Mapbox,Mapbox
Mapping conflict error,"Konieczna jest reindeksacja kolekcji. Przyczyna może się różnić — od pewnych zmian właściwości szablonu do nowych pól, które muszą zostać wypełnione w różnych obiektach. Proces ten nie wpłynie negatywnie na dane w kolekcji. Może trwać kilka minut, a niektóre części kolekcji mogą przez chwilę nie być widoczne w Bibliotece, ale to tymczasowe. Czy chcesz kontynuować?"
Maps,Mapy
Mark as Reviewed,Oznacz jako sprawdzone
Mark as reviewed,Oznacz jako sprawdzone
Markdown,Markdown
"Markdown support in custom pages will be discontinued starting in 2027. Upgrade this page
          when its content no longer relies on Markdown syntax.","Markdown support in custom pages will be discontinued starting in 2027. Upgrade this page
          when its content no longer relies on Markdown syntax."
marked and labeled,oznaczony i zaetykietowany
marked for training,oznaczony do trenowania
Marked for training + all labeled entries,Oznaczone do trenowania + wszystkie zaetykietowane wpisy
Marked for training only,Tylko oznaczone do trenowania
Match,Dopasowanie
match,match
match verbatim,match verbatim
matches,matches
Matches show the passage and the page they are on.,Matches show the passage and the page they are on.
Matching,Dopasowywanie
matching,pasujący
Matomo,Matomo
Members,Członkowie
Menu,Menu
Message,Wiadomość
Message sent,Wiadomość wysłana
Metadata,Metadane
Metadata Extraction,Ekstrakcja metadanych
"Metric shows a single total count. Select Pie, Bar, or another chart type above to
            configure categories, labels, and slices. Use the Appearance tab for colors.","Metric shows a single total count. Select Pie, Bar, or another chart type above to
            configure categories, labels, and slices. Use the Appearance tab for colors."
MIGRATE,MIGRUJ
Minimum,Minimum
Mismatch,Niedopasowanie
mismatched passwords,Hasła nie są zgodne
mismatching,niezgodny
Mixed access,Dostęp mieszany
ML TOC,ML TOC
Modified,Modified
Month,Miesiąc
Months,Miesiące
More,More
more options.,więcej opcji.
Multi-source mode,Multi-source mode
Multiple date,Wiele dat
Multiple date range,Wiele zakresów dat
Multiple inherited properties warning ([property 1] affects [property 2]),wpływa na
Multiple matches found,Multiple matches found
Multiple relationships edit description,"Zmiany tej właściwości wpłyną na inne właściwości tego szablonu, ponieważ wszystkie współdzielą powiązania z tą samą konfiguracją."
Multiple select,Wielokrotny wybór
Name,Nazwa
Name is required,Nazwa jest wymagana
Name is too long,Nazwa jest za długa
Name is too short,Nazwa jest za krótka
Narrow down your searches,Zawęź wyszukiwanie
"Narrow entities before aggregation. With multiple sources, pick the property under the
        source alias so each filter applies only to that series.","Narrow entities before aggregation. With multiple sources, pick the property under the
        source alias so each filter applies only to that series."
Narrow your search,Zawęź wyszukiwanie
Navigate back,Przejdź wstecz
Navigation menu tool tip part 1,"Jeśli jest to wewnętrzny URL w tej witrynie, pamiętaj o usunięciu pierwszej części"
Navigation menu tool tip part 2,"pozostawiając tylko względny URL zaczynający się od znaku ukośnika, np. /some_url."
New,Nowy
New activity will show up here.,New activity will show up here.
New conversation,New conversation
New entity,Nowy obiekt
New group,Nowa grupa
New language added,Dodano nowy język
New page,Nowa strona
New password,Nowe hasło
New primary doc,New primary doc
New relationship type,Nowy typ powiązania
New relationships group,Nowa grupa powiązań
New Relationships Migration,Migracja nowych powiązań
New user,Nowy użytkownik
Next,Dalej
No,Nie
No attachments,Brak załączników
No chart types match your search.,No chart types match your search.
No common filters,Brak wspólnych filtrów
No connected entities yet.,No connected entities yet.
No Connections,Brak połączeń
No Connections description,Połączenia to bezpośrednie relacje między tym dokumentem a innymi dokumentami i obiektami.
No context,Brak kontekstu
No CSVs yet,Brak plików CSV
No data,No data
NO DATA AVAILABLE,BRAK DOSTĘPNYCH DANYCH
NO EXTRACTORS,BRAK EKSTRAKTORÓW
No files available,Brak dostępnych plików
no filters for templates,Kombinacja typów obiektów nie posiada wspólnych filtrów.
No Group,Bez grupy
No icon / flag,Bez ikony / flagi
No items available,Brak dostępnych elementów
No Label,Bez etykiety
No label,Bez etykiety
No matches for,No matches for
No matching entities.,No matching entities.
No media selected,No media selected
No metadata for this entity yet.,No metadata for this entity yet.
No options,Brak opcji
No options found,Nie znaleziono opcji
No page,No page
No people or groups added yet,No people or groups added yet
No primary documents,No primary documents
No property,Element nie posiada tej właściwości
No References,Brak odniesień
No References description,Odniesienia to fragmenty tego dokumentu powiązane z innymi dokumentami i obiektami.
No Relationships,Brak powiązań
No Relationships description,Powiązania to więzi między obiektami.
No relationships found,No relationships found
No relationships to graph,No relationships to graph
No releases yet,No releases yet
No results found,Nie znaleziono wyników
No supporting files yet. Add a file to get started.,No supporting files yet. Add a file to get started.
No table of contents,Brak spisu treści
No Table of contents,Brak spisu treści
No table of contents description,"Możesz zacząć od zaznaczenia tekstu w dokumencie i kliknięcia przycisku ""Dodaj do spisu treści""."
No templates available to add.,No templates available to add.
No text match,Brak dopasowania tekstu
No text match description,"Możesz wpisać coś innego w polu wyszukiwania, aby uzyskać wyniki."
No timelinks added,No timelinks added
No translation in,No translation in
No type,Brak typu
No uploaded images fit the requirements,"Żaden z przesłanych obrazów nie spełnia tych wymagań dotyczących rozmiaru. Prześlij nowy obraz lub użyj edytora, aby zmienić rozmiar istniejącego pliku."
No user or group found,No user or group found
No valid target template available,Brak dostępnego prawidłowego szablonu docelowego
No value,Brak wartości
No Value,Brak wartości
No visualization data available.,No visualization data available.
"No, cancel","Nie, anuluj"
Non processed,Nieprzetworzone
Non-labeled,Nieoznaczone
Non-latin characters support,Wsparcie dla znaków niełacińskich
None,None
Normal view,Widok normalny
Not already been use as source template in another extractor,Nieużywany jeszcze jako szablon źródłowy w innym ekstraktorze
Not already been use as target template,Nieużywany jeszcze jako szablon docelowy
Not Found,Nie znaleziono
Nothing here yet.,Nothing here yet.
Nothing selected,Nic nie zaznaczono
Notifications,Powiadomienia
Obsolete,Przestarzałe
obsolete,przestarzałe
OCR,OCR
OCR button tip,Ten proces przetworzy dokument w celu rozpoznania jego tekstu. Oryginalny plik zostanie dodany jako plik pomocniczy.
OCR completed,Zakończono OCR
OCR description tip 1,"Spowoduje to włączenie funkcji optycznego rozpoznawania znaków (OCR) dla dokumentów PDF. Usługa ta będzie rozpoznawać tekst wewnątrz obrazów, takich jak zeskanowane dokumenty i zdjęcia, i przekształcać go w dane tekstowe odczytywalne maszynowo."
OCR description tip 2,Po aktywacji administratorzy i redaktorzy będą mogli wysyłać dokumenty PDF do usługi OCR.
OCR error,Błąd OCR
OCR error tip,Silnik OCR nie mógł odczytać dokumentu z powodu nieprawidłowego formatu. Ostatnia aktualizacja
OCR PDF,OCR PDF
of,z
Ok,Ok
OK,OK
one character,one character
"Only properties with the same name and configuration in every data source are available
            for both dimensions.","Only properties with the same name and configuration in every data source are available
            for both dimensions."
"Only templates that are not used as source in any other extractor and are not
                selected as target in this extractor are available for selection.","Do wyboru dostępne są tylko szablony, które nie są używane jako źródło w żadnym innym ekstraktorze i nie są wybrane jako cel w tym ekstraktorze."
"Only templates with at least one rich text property and one numeric property are
                available for selection.",Do wyboru dostępne są tylko szablony posiadające przynajmniej jedną właściwość typu tekst sformatowany i jedną właściwość numeryczną.
"Only the extractor will be deleted, all created entities will remain on the library.","Usunięty zostanie tylko ekstraktor, wszystkie utworzone obiekty pozostaną w bibliotece."
Open,Otwórz
Open entity,Open entity
Open group,Otwórz grupę
Open link,Open link
Open PDF,Otwórz PDF
Open the two-factor Authenticator app on your device,Otwórz aplikację uwierzytelniającą dwuskładnikowego (Authenticator) na swoim urządzeniu
Options,Opcje
or,lub
or drop your files here.,lub upuść pliki tutaj.
Order,Kolejność
Other,Inne
other,inne
Other users will be affected by this action!,Ta akcja wpłynie na innych użytkowników!
Others,Inni
Outgoing,Outgoing
p.,p.
Page,Strona
Page not found,Nie znaleziono strony
Page published successfully.,Page published successfully.
Pages,Strony
Paragrap number extraction property (numeric),Właściwość ekstrakcji numeru akapitu (liczbowa)
Paragraph,Akapit
Paragraph Extraction,Ekstrakcja akapitu
Paragraph Extractor added,Dodano ekstraktor akapitów
Paragraph text extraction property (rich text),Właściwość ekstrakcji tekstu akapitu (tekst sformatowany)
Paragraphs,Akapity
Paragraphs deleted,Akapity usunięte
parties,parties
Password,Hasło
Password + 2fa,Hasło + 2FA
Password changed success,Hasło zostało pomyślnie zmienione
Password Error,Błąd hasła! Oba pola są wymagane i muszą być zgodne
Password is too long,Hasło jest za długie
Password updated,Hasło zostało zaktualizowane
Passwords do not match,Hasła nie są zgodne
Paste this tag in a page HTML. The chart uses the page language.,Paste this tag in a page HTML. The chart uses the page language.
Paste URL,Paste URL
Paste URL here,Wklej URL tutaj
PDF,PDF
Pending,Oczekujące
People and groups,People and groups
per page,na stronę
Permission,Uprawnienie
Permission level,Permission level
Permission on entities explicitly shared with the user,Uprawnienie do obiektów jawnie udostępnionych użytkownikowi
Permissions,Uprawnienia
Permissions updated,Permissions updated
Pick a color,Wybierz kolor
Plain text,Tekst zwykły
Please contact an admin for details.,Skontaktuj się z administratorem po szczegóły.
Please type in,Proszę wpisać
Please type in letters and numbers from the image to start the export.,"Wpisz litery i cyfry z obrazu, aby rozpocząć eksport."
Pre-filled from your selection. Edit as needed.,Pre-filled from your selection. Edit as needed.
Preflight scan completed.,Skanowanie wstępne zakończone.
Preparing required relationships.,Przygotowywanie wymaganych powiązań.
Preparing required thesauri values.,Przygotowywanie wymaganych wartości tezaurusów.
Preserve,Zachowaj
Preserve Extension,Zachowaj rozszerzenie
Preserve Setup Description,"Jeśli znasz swój adres URL i TOKEN Uwazi, kliknij poniższy link i wypełnij wymagane informacje."
Press enter to add,"Naciśnij Enter, aby dodać"
Preview,Podgląd
Preview entity,Preview entity
Preview updates automatically (300ms debounce),Preview updates automatically (300ms debounce)
Preview updates when the JSON is valid.,Preview updates when the JSON is valid.
Previous,Poprzednie
Primary button,Przycisk główny
Primary document,Primary document
Primary Documents,Dokumenty główne
Priority sorting,Sortowanie priorytetowe
Priority sorting description,"Właściwości oznaczone jako priorytetowe do sortowania będą używane jako domyślne kryteria sortowania. Jeśli więcej niż jedna właściwość jest oznaczona jako priorytetowa, system spróbuje wybrać najlepsze dopasowanie. Przy wyświetlaniu mieszanych typów szablonów system wybierze najlepsze połączone sortowanie priorytetowe."
Private,Private
Private entities description,Uwaga: wybrane obiekty będą **prywatne**. Tylko uprawnieni użytkownicy będą mogli je zobaczyć.
Private instance,Prywatna instancja
Process,Proces
Process extractor,Ekstraktor procesów
Process selected,Przetwórz wybrane
Processed,Przetworzono
Processed rows,Przetworzone wiersze
Processing,Przetwarzanie
Progress,Postęp
Properties,Właściwości
Properties from other templates in the collection using the same label,Właściwości z innych szablonów w kolekcji używające tej samej etykiety
Properties from other templates in the collection using the same label.,Właściwości z innych szablonów w kolekcji używające tej samej etykiety.
"Properties marked as priority sorting will be used as default sorting criteria. If more than one property is marked as priority sorting the system will try to pick-up the best fit. When listing mixed template types, the system will pick-up the best combined priority sorting.","Właściwości oznaczone jako priorytetowe do sortowania będą używane jako domyślne kryteria sortowania. Jeśli więcej niż jedna właściwość jest oznaczona jako priorytetowa, system spróbuje wybrać najlepsze dopasowanie. Przy wyświetlaniu mieszanych typów szablonów, system wybierze najlepsze połączone sortowanie priorytetowe."
Property,Właściwość
Property as filter description,"Ta właściwość będzie używana do filtrowania wyników biblioteki. Gdy właściwości mają taką samą nazwę i typ pola jak inne typy obiektów, zostaną połączone do filtrowania."
property date,Data
property daterange,Zakres dat
property generatedid,Wygenerowane ID
property geolocation,Geolokalizacja
property image,Obraz
property link,Link
property markdown,Tekst sformatowany
property media,Media
property multidate,Wiele dat
property multidaterange,Wiele zakresów dat
property multiselect,Wielokrotny wybór
property numeric,Liczbowy
property preview,Podgląd
property relationship,Powiązanie
property select,Wybór
property text,Tekst
Property type,Typ właściwości
Protection,Ochrona
ProTip!,Porada!
"Provide chart-ready data as JSON. Each series needs id, label, and a points array with
              label and value per row. Optional key on points helps stable colors.","Provide chart-ready data as JSON. Each series needs id, label, and a points array with
              label and value per row. Optional key on points helps stable colors."
Public entities description,Uwaga: wybrane obiekty będą **publiczne**. Każdy będzie mógł je zobaczyć.
Public form settings description,Tutaj możesz skonfigurować miejsce docelowe formularza publicznego i dozwolone szablony
Public Form submit URL,URL przesyłania formularza publicznego
Public form URL description,"Jeśli skonfigurowałeś formularz publiczny i chcesz, aby inna kolekcja Uwazi otrzymywała zgłoszenia, wpisz tutaj jej URL."
Public form whitelist description,"Jeśli chcesz umieścić formularze publiczne na swoich stronach, musisz dodać do białej listy identyfikatory szablonów, dla których oczekiwane są formularze publiczne."
Public instance,Publiczna instancja
Publish,Opublikuj
Publish release,Publish release
Published,Opublikowano
QR Code,Kod QR
Query,Zapytanie
Queued,W kolejce
RAW,SUROWY
"Re-runs the query against your current collection. Use this after importing
                        or editing entities—not when changing chart settings (save handles that).","Re-runs the query against your current collection. Use this after importing
                        or editing entities—not when changing chart settings (save handles that)."
Re-uploaded document,Ponownie przesłany dokument
Ready,Ready
Receiving email,Adres e-mail odbiorcy
Receiving email description,"Jeśli masz formularz kontaktowy, jest to adres e-mail, na który będą wysyłane zgłoszenia z formularza."
Recommended,Zalecane
Reference,Odniesienie
References,Odniesienia
references,references
References in document,References in document
Refresh,Refresh
"Refresh manually when you have added data and cannot wait for the next
                        scheduled run.","Refresh manually when you have added data and cannot wait for the next
                        scheduled run."
Refresh mode,Refresh mode
Reject,Odrzuć
Related entities created,Utworzone obiekty powiązane
Relation type,Typ relacji
Relationship,Powiązanie
Relationship created,Relationship created
Relationship Type,Typ powiązania
Relationship type,Typ powiązania
Relationship type created successfully.,Typ powiązania utworzony pomyślnie.
Relationship type name,Nazwa typu powiązania
Relationship type name already exists,Nazwa typu powiązania już istnieje
Relationship types,Typy powiązań
relationships,powiązania
Relationships,Powiązania
Relationships saved,Powiązania zapisane
relationships? This action cannot be undone.,relationships? This action cannot be undone.
RelationType saved,Typ powiązania zapisany
Release message,Release message
remaining files,pozostałe pliki
Remote Server Unreachable,Serwer zdalny nieosiągalny
Remove,Usuń
Remove from connection,Remove from connection
Remove from training set,Usuń z zestawu treningowego
remove icon,usuń ikonę
Removed language,Usunięto język
Rename,Zmień nazwę
Renamed attachment,Zmieniono nazwę załącznika
Repeat Password,Powtórz hasło
Request id #,Numer żądania #
Request token,Token żądania
Required,Wymagane
Required property,Wymagana właściwość
Required relationships were prepared.,Przygotowano wymagane powiązania.
Required thesauri values were prepared.,Przygotowano wymagane wartości tezaurusów.
Reset,Resetuj
Reset 2FA,Resetuj 2FA
Reset default translation,Przywróć domyślne tłumaczenie
Reset language,Resetuj język
Reset Password,Resetuj hasło
Reset passwords,Resetuj hasła
Resize panels,Resize panels
Restore,Restore
Restore previous version,Restore previous version
Restricted,Ograniczony
Retryable,Do ponowienia
Retrying,Ponawianie
Return to login,Powrót do logowania
Review,Przegląd
Reviewed,Sprawdzono
Role,Rola
Route,Trasa
Row,Wiersz
Row density,Row density
Rows failed,Wiersze z błędami
Rows processed,Przetworzone wiersze
Sample,Próbka
Satellite,Satelita
Save,Zapisz
Save & Preview,Zapisz i podgląd
Save changes,Zapisz zmiany
Save password,Zapisz hasło
Save the visualization before refreshing.,Save the visualization before refreshing.
Save the visualization to get embed code.,Save the visualization to get embed code.
Save your work to make change permanent,"Zapisz swoją pracę, aby utrwalić zmiany"
Saved successfully.,Zapisano pomyślnie.
Saved with warnings,Saved with warnings
Saving,Saving
Saving...,Zapisywanie...
Scanning,Skanowanie
Scanning rows before import.,Skanowanie wierszy przed importem.
Schedule,Schedule
Schedules run in UTC (Coordinated Universal Time).,Schedules run in UTC (Coordinated Universal Time).
Search,Szukaj
"Search  •  AND, OR, NOT, ""exact"", wild*","Search  •  AND, OR, NOT, ""exact"", wild*"
Search entities...,Search entities...
Search entities…,Search entities…
Search item,Szukaj elementu
Search related entities or documents,Szukaj powiązanych obiektów lub dokumentów
Search relationships,Search relationships
Search relevance,Trafność wyszukiwania
Search text,Szukaj tekstu
Search text description,"Wpisz coś w pole wyszukiwania, aby uzyskać wyniki."
Search this document,Search this document
Search Tips,Wskazówki wyszukiwania
Search tips,Search tips
Search Tips: boolean,"AND, OR i NOT dla wyszukiwań logicznych. Np. ""status AND kobiety NOT Nikaragua"" dopasuje wszystko zawierające słowa ""status"" i ""kobiety"", a koniecznie niezawierające słowa ""Nikaragua""."
Search Tips: exact term,"Dokładne dopasowanie frazy przez ujęcie wyszukiwanego tekstu w cudzysłów. Np. ""Costa Rica"" da inne wyniki niż Costa Rica bez cudzysłowu."
Search Tips: one char wildcard,"? jako znak zastępczy dla jednego znaku. Np. ""198?"" dopasuje od 1980 do 1989, a także 198a, 198b itp."
Search Tips: proximity,"~ dla wyszukiwań zbliżeniowych. Np. ""the status""~5 znajdzie wszystko, co zawiera ""the"" i ""status"" w odległości 5 słów, np. ""the procedural status"", ""the specific legal status""."
Search Tips: wildcard,"Użyj * jako znaku zastępczego. Np. ""juris*"" dopasuje słowa takie jak jurisdiction, jurisdictional, jurists, jurisprudence itp."
Searching...,Wyszukiwanie...
Secondary button,Przycisk drugorzędny
Secret keys,Tajne klucze
Security,Bezpieczeństwo
Select,Wybór
Select & Search,Wybierz i szukaj
"Select a dimension to see supported chart types, or use Metric for a total count.","Select a dimension to see supported chart types, or use Metric for a total count."
Select a document to connect to a specific paragraph,Select a document to connect to a specific paragraph
Select a file,Select a file
Select all,Zaznacz wszystko
Select an existing image,Wybierz istniejący obraz
Select favicon image,Wybierz obraz favicon
Select files on your device,Wybierz pliki z urządzenia
Select from computer,Wybierz z komputera
Select relationship,Select relationship
Select relationship type,Wybierz typ relacji
Select site logo image,Wybierz obraz logo strony
Select target document,Select target document
Select target entity,Select target entity
Select target paragraph,Wybierz akapit docelowy
Select text in target document,Select text in target document
Select the template to store the extracted paragraphs.,Wybierz szablon do przechowywania wyodrębnionych akapitów.
Select the template with the source documents.,Wybierz szablon z dokumentami źródłowymi.
Select...,Wybierz...
Selected,Wybrano
selected,wybrano
selected of,wybrano z
Selected or suggested,Wybrane lub sugerowane
Selected templates,Wybrane szablony
Send,Wyślij
Send recovery email,Wyślij e-mail odzyskiwania
Sending email,Wysyłanie e-maila
Sending email description,"To jest adres e-mail, który będzie widoczny jako nadawca, gdy e-mail zostanie wysłany z Twojej kolekcji Uwazi do zarejestrowanych użytkowników. Domyślny adres to *no-reply@uwazi.io*. Możesz ustawić własny, wpisując tutaj wybrany adres e-mail."
Sending labeled data,Wysyłanie oznaczonych danych
Series,Series
Services,Usługi
Set as default,Ustaw jako domyślny
Set default language,Ustaw domyślny język
Set default template,Ustaw domyślny szablon
Set the default starting point for your geolocation properties.,Ustaw domyślny punkt startowy dla właściwości geolokalizacji.
Settings,Ustawienia
settings,ustawienia
Settings navigation active background,Tło aktywnego elementu nawigacji ustawień
Settings sidebar background,Tło paska bocznego ustawień
Settings updated,Ustawienia zaktualizowano.
Share,Udostępnij
Share edit access with other users,Udostępnij dostęp do edycji innym użytkownikom
Share entities with the public,Udostępnij obiekty publicznie
Share with people and groups,Udostępnij osobom i grupom
Shared as editor,Udostępniono jako edytor
Shared as viewer,Udostępniono jako przeglądający
Show actions,Pokaż akcje
Show cookie policy,Pokaż politykę cookies
Show details,Show details
Show filters,Pokaż filtry
Show in cards,Pokaż na kartach
Show less,Show less
Show more,Pokaż więcej
Show remaining in panel,Show remaining in panel
Show toolbar,Pokaż pasek narzędzi
Showing,Wyświetlanie
shown of,wyświetlono z
Sign in,Zaloguj się
Simple mode,Tryb prosty
Single relationships must have a hub,Pojedyncze powiązania muszą mieć węzeł
Site logo description,"Logo pojawia się na górnym pasku obok nazwy kolekcji (około 200×32 piksele).

1. W razie potrzeby prześlij obrazy w sekcji Niestandardowe przesyłanie.
2. Kliknij „Wybierz obraz logo strony” i wskaż plik; na liście dostępne są tylko obrazy z sekcji Niestandardowe przesyłanie."
Site logo no images hint,"Brak plików graficznych w sekcji Niestandardowe przesyłanie. Najpierw dodaj tam obrazy PNG, SVG lub JPEG."
Size,Rozmiar
Skip to main content,Przejdź do głównej treści
Some tasks may take a while. Bert will reply when it's done.,Some tasks may take a while. Bert will reply when it's done.
Something went wrong,Coś poszło nie tak
Sort,Sortuj
Sort ascending,Sortuj rosnąco
Sort by,Sortuj według
Sort descending,Sortuj malejąco
Sort:,Sort:
sorted by,posortowano według
Source,Źródło
Source entity,Source entity
Source page,Source page
Source relationship type,Źródłowy typ powiązania
Source template,Szablon źródłowy
Source Template,Szablon źródłowy
Source's role in the relationship Source-Target.,Rola źródła w powiązaniu Źródło-Cel.
Stage,Etap
stat*,stat*
State,Stan
Statistics,Statystyki
Stats & Filters,Statystyki i filtry
Status,Status
status AND women NOT Nicaragua,status AND women NOT Nicaragua
Storage,Pamięć
Streets,Ulice
Strict mode,Tryb ścisły
Style,Styl
Submit,Wyślij
Submitted entity to a remote instance,Przesłano obiekt do zdalnej instancji
Submitting,Wysyłanie
Success,Sukces
"Success, Upload another?","Sukces, przesłać kolejny?"
Suggestion,Sugestia
Suggestion:,Sugestia:
Suggestions,Sugestie
suggestions,sugestie
Suggestions sent,Sugestie wysłane
Suggestions updated,Zaktualizowano sugestie
Supported chart types for manual data,Supported chart types for manual data
Supported chart types for this configuration,Supported chart types for this configuration
Supporting file,Supporting file
Supporting files,Pliki pomocnicze
Synced template,Zsynchronizowany szablon
Synced Template,Zsynchronizowany szablon
Synced templates cannot be deleted.,Zsynchronizowanych szablonów nie można usunąć.
System translations,Tłumaczenia systemowe
Table,Tabela
Table of Contents,Spis treści
Table of contents,Spis treści
Table of contents saved successfully,Spis treści zapisany pomyślnie
Table view,Widok tabeli
Target entity,Target entity
Target entity type,Target entity type
Target relationship type,Docelowy typ relacji
Target Template,Szablon docelowy
Target template,Szablon docelowy
Target's role in the relationship Source-Target.,Rola celu w relacji Źródło-Cel.
Target:,Target:
Tasks,Zadania
Template,Szablon
Template changes are being applied to all related entities.,Zmiany szablonu są stosowane do wszystkich powiązanych obiektów.
Template color,Kolor szablonu
"Template colors apply when comparing data sources or when the dimension is entity
              type. Otherwise the chart palette is used as fallback.","Template colors apply when comparing data sources or when the dimension is entity
              type. Otherwise the chart palette is used as fallback."
Template conflict,Konflikt szablonów
Template name,Nazwa szablonu
Template name already exists,Nazwa szablonu już istnieje
Template processing completed.,Przetwarzanie szablonu zakończone.
Template saved successfully.,Szablon zapisany pomyślnie.
Template with a long number of entities,"Szablon został zmieniony, a powiązane obiekty zostaną ponownie zaindeksowane — ten proces może potrwać kilka minut. Czy chcesz kontynuować?"
Template(s),Szablon(y)
Template(s) deleted successfully.,Szablon(y) usunięte pomyślnie.
Templates,Szablony
Templates:,Szablony:
Text,Tekst
Text references limit warning,Odniesienia tekstowe są tymczasowo ograniczone do maksymalnie 300. Obecnie pracujemy nad rozwiązaniem tego problemu.
"The process of extracting the paragraphs has successfully started. Check the Status
              column for updates on the process.","Proces wyodrębniania akapitów został pomyślnie rozpoczęty. Sprawdź kolumnę Status, aby śledzić postęp."
The request could not be processed.,Żądanie nie mogło zostać przetworzone.
The source of this template is a sync.,Źródłem tego szablonu jest synchronizacja.
The token does not validate against the secret key,Token nie jest zgodny z tajnym kluczem
The token does not validate against the secret key!,Token nie jest zgodny z tajnym kluczem!
Theme and branding,Motyw i branding
Theme colors,Kolory motywu
Theme colors imported,Zaimportowano kolory motywu
Theme favicon,Favicon motywu
Theme instance file invalid,Nieprawidłowy plik motywu instancji
Theme logotype,Logotyp motywu
Theme presets,Predefiniowane motywy
Theme preview,Podgląd motywu
Then by,Then by
There are no pages enabled for entity view,Brak stron włączonych dla widoku obiektu
There are no untranslated terms,Brak nieprzetłumaczonych terminów
Thesauri,Tezaurusy
Thesauri added.,Tezaurusy dodane.
Thesauri deleted,Tezaurusy usunięte
Thesauri name,Nazwa tezaurusa
thesauri new group desc,opis nowej grupy tezaurusa
thesauri new item desc,opis nowego elementu tezaurusa
Thesauri updated.,Tezaurusy zaktualizowane.
Thesauri values created,Utworzone wartości tezaurusów
Thesaurus,Tezaurus
Thesaurus created successfully.,Tezaurus utworzony pomyślnie.
Thesaurus name,Nazwa tezaurusa
Thesaurus name already exists,Nazwa tezaurusa już istnieje
Thesaurus saved,Tezaurus zapisany
This action may take some time while we add the extra language to the entire collection.,"Ta operacja może chwilę potrwać, podczas gdy dodajemy dodatkowy język do całej kolekcji."
This area allows you to append custom Javascript to the page. This opens up a new universe of possibilities.,Ten obszar pozwala dołączyć własny kod JavaScript do strony. Otwiera to nowe możliwości.
This chart type cannot display the current data.,This chart type cannot display the current data.
"This chart type cannot display the current data. Pick a supported type in the Chart
              tab.","This chart type cannot display the current data. Pick a supported type in the Chart
              tab."
"This chart type has no extra options. Select another chart type above if you need
            legend, labels, or data filters.","This chart type has no extra options. Select another chart type above if you need
            legend, labels, or data filters."
This content is automatically generated,Ta treść jest generowana automatycznie
"This entity has no document, you probably want to see the metadata","Ten obiekt nie ma dokumentu, prawdopodobnie chcesz zobaczyć metadane"
This entity is restricted from public view.,Ten obiekt jest niedostępny publicznie.
This field is required,To pole jest wymagane
This file could not be displayed. Try refreshing the page.,Nie można wyświetlić tego pliku. Spróbuj odświeżyć stronę.
This file could not be opened. It may be corrupted or not a valid PDF.,Nie można otworzyć tego pliku. Może być uszkodzony lub nie jest prawidłowym plikiem PDF.
"This file is currently unavailable. Please contact your administrator if the issue
                  persists.","This file is currently unavailable. Please contact your administrator if the issue
                  persists."
"This file is currently unavailable. Please contact your administrator if the issue
              persists.","This file is currently unavailable. Please contact your administrator if the issue
              persists."
This file type is not supported on media fields,Ten typ pliku nie jest obsługiwany w polach multimedialnych
This group is empty,Ta grupa jest pusta
This import is waiting in queue.,Ten import oczekuje w kolejce.
This label already exists in this template,Ta etykieta już istnieje w tym szablonie
This option will show a notification about the use of cookies in your instance.,Ta opcja wyświetli powiadomienie o użyciu plików cookie w Twojej instancji.
This page does not need Markdown,This page does not need Markdown
"This page uses HTML only (Markdown is not processed). You can embed maps, charts, entity
          lists, and other components.","This page uses HTML only (Markdown is not processed). You can embed maps, charts, entity
          lists, and other components."
This property can not be deleted,Tej właściwości nie można usunąć
This property will appear in the library cards as part of the basic info.,Ta właściwość będzie wyświetlana na kartach biblioteki jako część podstawowych informacji.
This property will be shown using all the width available.,Ta właściwość będzie wyświetlana z wykorzystaniem całej dostępnej szerokości.
This property will be shown without the label,Ta właściwość będzie wyświetlana bez etykiety
This property will be the default filter in the library for this template.,Ta właściwość będzie domyślnym filtrem w bibliotece dla tego szablonu.
"This property will be used for filtering the library results. When properties match in equal name and field type with other entity types, they will be combined for filtering.","Ta właściwość będzie używana do filtrowania wyników biblioteki. Gdy właściwości mają taką samą nazwę i typ pola jak inne typy obiektów, zostaną połączone do filtrowania."
This search could not be completed. Try again later.,This search could not be completed. Try again later.
This table of contents was automatically created by the system.,Ten spis treści został automatycznie utworzony przez system.
this template,ten szablon
This template is in use by existing entities and cannot be deleted.,Ten szablon jest używany przez istniejące obiekty i nie może zostać usunięty.
Time,Czas
Time (UTC),Time (UTC)
Timelinks,Odniesienia czasowe
Timestamp,Znacznik czasu
tips,tips
Title,Tytuł
To,Do
To add references you can start by selecting text in the document,"Aby dodać odniesienia, możesz zacząć od zaznaczenia tekstu w dokumencie"
"To bring you a better experience, this site uses cookies.","Aby zapewnić lepsze doświadczenie, ta strona używa plików cookie."
"To complete the account creation process, please create a password for your account","Aby dokończyć proces tworzenia konta, utwórz hasło dla swojego konta"
to view your authentication code and verify your identity.,aby wyświetlić kod uwierzytelniania i zweryfikować swoją tożsamość.
Today,Dzisiaj
Toggle timeline mode,Przełącz tryb osi czasu
Tools,Narzędzia
