Key,Greek
"Enter the full username, email, or group name. Suggestions are not shown.","Πληκτρολογήστε το πλήρες όνομα χρήστη, τη διεύθυνση email ή το όνομα της ομάδας. Δεν εμφανίζονται προτάσεις."
Enter your current password to confirm,Εισάγετε τον τρέχοντα κωδικό πρόσβασής σας για επιβεβαίωση
Entities,Οντότητες
entities,συνολικά
Entities across all languages,Οντότητες σε όλες τις γλώσσες
Entities created,Δημιουργημένες οντότητες
Entities updated,Ενημερωμένες οντότητες
entities · generated,οντότητες · δημιουργημένες
Entity,Οντότητα
Entity creation stage completed.,Ολοκληρώθηκε το στάδιο δημιουργίας της οντότητας.
Entity deleted,Η οντότητα διαγράφηκε
Entity Page,Σελίδα οντότητας
Entity saved,Η οντότητα αποθηκεύτηκε
Entity scope,Πεδίο εφαρμογής οντότητας
Entity type,Τύπος οντότητας
Entity types,Τύποι οντοτήτων
Entity updated,Η οντότητα ενημερώθηκε
Error,Σφάλμα
Error adding thesauri.,Σφάλμα προσθήκης θησαυρών.
Error loading your image,Σφάλμα φόρτωσης της εικόνας σας
Error loading your media,Error loading your media
Error saving template.,Σφάλμα αποθήκευσης προτύπου.
Error updating thesauri.,Σφάλμα ενημέρωσης θησαυρών.
Every language has a value — use the re-translate button on a row,Every language has a value — use the re-translate button on a row
evidence,αποδεικτικά στοιχεία
exact phrase,ακριβής φράση
Expand all,Ανάπτυξη όλων
Expand All,Ανάπτυξη όλων
Export CSV,Εξαγωγή CSV
Exporting entities to CSV,Εξαγωγή οντοτήτων σε CSV
Extension Token,Token επέκτασης
External embed,Εξωτερική ενσωμάτωση
Extract new paragraphs,Εξαγωγή νέων παραγράφων
Extract paragraphs,Εξαγωγή παραγράφων
Extracting files,Εξαγωγή αρχείων
Extracting files from uploaded package.,Εξαγωγή αρχείων από το πακέτο που έχει μεταφορτωθεί.
Extraction configuration,Διαμόρφωση εξαγωγής
Extractor Name,Όνομα εξαγωγέα
Extractor name,Όνομα εξαγωγέα
Extractor/s deleted,Εξαγωγέας/εις διαγράφηκε/καν
Extractors,Εξαγωγείς
Failed,Αποτυχία
Failed to mark table of contents as reviewed,Δεν κατέστη δυνατό να επισημανθεί ο πίνακας περιεχομένων ως ελεγμένος
Failed to save table of contents,Δεν κατέστη δυνατή η αποθήκευση του πίνακα περιεχομένων
Failure details,Λεπτομέρειες σφάλματος
Favicon description,"Το favicon είναι ένα μικρό εικονίδιο που αντιπροσωπεύει τη συλλογή σας στις καρτέλες του προγράμματος περιήγησης και στους σελιδοδείκτες. Το προεπιλεγμένο favicon είναι το λογότυπο του Uwazi. Για να χρησιμοποιήσετε το δικό σας:

1. Μεταφορτώστε το εικονίδιό σας στις ""Προσαρμοσμένες μεταφορτώσεις"" αν χρειάζεται.
2. Κάντε κλικ στο ""Επιλογή εικόνας favicon"" και επιλέξτε αρχείο (μόνο εικόνες από τις Προσαρμοσμένες μεταφορτώσεις).
3. Ανανεώστε τη σελίδα για να δείτε το favicon σας σε λειτουργία."
Favicon no images hint,Δεν υπάρχει εικόνα για το favicon
FEATURED,ΕΠΙΛΕΓΜΕΝΑ
File,Αρχείο
file,αρχείο
File deleted,Το αρχείο διαγράφηκε
File details,Λεπτομέρειες αρχείου
File extraction completed successfully.,Η εξαγωγή του αρχείου ολοκληρώθηκε με επιτυχία.
File name,Όνομα αρχείου
File preview unavailable,Η προεπισκόπηση του αρχείου δεν είναι διαθέσιμη
File updated,Το αρχείο ενημερώθηκε
Files,Αρχεία
files,αρχεία
Files and database usage,Χρήση αρχείων και βάσης δεδομένων
Fill,Συμπλήρωση
Filter,Φίλτρο
Filter unauthorized relationships,"Από προεπιλογή, οι σχέσεις που οδηγούν σε περιορισμένες οντότητες είναι ορατές σε ανώνυμους χρήστες, αλλά χωρίς ενεργό σύνδεσμο. Όταν αυτή η επιλογή είναι ενεργοποιημένη, αυτές οι σχέσεις αποκρύπτονται πλήρως, εμποδίζοντας τους δημόσιους χρήστες να γνωρίζουν ότι υπάρχει περιορισμένο περιεχόμενο."
Filters,Φίλτρα
Filters AND operator,ΚΑΙ
Filters configuration,Φίλτρα
Filters configuration description,"Από προεπιλογή, οι χρήστες μπορούν να φιλτράρουν τις οντότητες στη βιβλιοθήκη με βάση τους τύπους που έχετε ορίσει. Ωστόσο, μπορείτε να διαμορφώσετε τον τρόπο εμφάνισης αυτών των τύπων οντοτήτων:"
Filters configuration example,"επιλέξτε ""Προσθήκη ομάδας"" παρακάτω για να ομαδοποιήσετε φίλτρα κάτω από μια ετικέτα π.χ. (""Έγγραφα"" ή ""Άτομα"")"
Filters OR operator,Ή
Filters saved,Τα φίλτρα αποθηκεύτηκαν
Find,Εύρεση
Find suggestions,Εύρεση προτάσεων
Find suggestions after training,Εύρεση προτάσεων μετά την εκπαίδευση
Find suggestions for,Εύρεση προτάσεων για
Find suggestions for selected,Εύρεση προτάσεων για επιλεγμένα
Finding suggestions,Εύρεση προτάσεων...
Fit,Προσαρμογή
Flag,Σημαία
for,για
For all entities,Για όλες τις οντότητες
For entities with blank values,Για οντότητες με κενές τιμές
Forgot Password or Username?,Ξεχάσατε τον κωδικό πρόσβασης ή το όνομα χρήστη;
Forms and email configuration,Διαμόρφωση φορμών και email
From,Από
From all suggestions,Από όλες τις προτάσεις
From previous step,Από το προηγούμενο βήμα
From selection,Από την επιλογή
From:,Από:
Full mode,Πλήρης λειτουργία
Full width,Πλήρες πλάτος
General,Γενικά
General access,Γενική πρόσβαση
General Information,Γενικές πληροφορίες
Generated ID,Παραγόμενο aναγνωριστικό
Global CSS,Καθολικό CSS
Global CSS & JS,Καθολικό CSS και JS
Global JS,Global JS
Google,Google
Google Analytics,Google Analytics
Google Maps,Χάρτες Google
Group,Ομάδα
Group by,Ομαδοποίηση κατά
group expressions,ομαδικές εκφράσεις
Group Options,Επιλογές ομάδας
Group saved,Η ομάδα αποθηκεύτηκε
Group updated,Η ομάδα ενημερώθηκε
Grouped geolocation properties,Ομαδοποιημένες ιδιότητες γεωγραφικής θέσης
Groups,Ομάδες
Header and button preview,Προεπισκόπηση επικεφαλίδας και κουμπιού
Header bar active background,Ενεργό φόντο της γραμμής κεφαλίδας
Header bar background,Φόντο της γραμμής κεφαλίδας
Header bar divider,Διαχωριστικό γραμμής κεφαλίδας
Header bar hover background,Φόντο της γραμμής κεφαλίδας κατά την τοποθέτηση του ποντικιού πάνω της
Header bar text,Κείμενο της γραμμής κεφαλίδας
help,βοήθεια
here,εδώ
"Hi, I'm Bert.","Γεια, είμαι ο Bert."
Hide,Απόκρυψη
Hide actions,Απόκρυψη ενεργειών
Hide details,Απόκρυψη λεπτομερειών
Hide label,Απόκρυψη ετικέτας
Hide restricted relationships from public,Απόκρυψη σχέσεων με περιορισμένη πρόσβαση από το κοινό
Hide toolbar,Απόκρυψη γραμμής εργαλείων
HTML,HTML
https://yourdomain,https://yourdomain
hub,κόμβος
hubs,κόμβοι
Hybrid,Υβριδικό
Icon,Εικονίδιο
ID,Αναγνωριστικό
ID:,Αναγνωριστικό:
"If an account exists with the email you provided, you will receive an email
                        with instructions to reset your password.","Εάν υπάρχει λογαριασμός με τη διεύθυνση email που δώσατε, θα λάβετε ένα email
 με οδηγίες για την επαναρύθμιση του κωδικού πρόσβασής σας."
"If it is an external URL, use a fully formed URL. Ie. http://www.uwazi.io.","Εάν πρόκειται για εξωτερική διεύθυνση URL, χρησιμοποιήστε μια πλήρως σχηματισμένη διεύθυνση URL. Δηλαδή: http://www.uwazi.io."
"If you want to continue, please type","Αν θέλετε να συνεχίσετε, πληκτρολογήστε"
Image doesn't match the required size.,Η εικόνα δεν έχει το απαιτούμενο μέγεθος.
Import,Εισαγωγή
Import asset,Εισαγωγή αρχείου
Import CSV,Εισαγωγή CSV
Import failed. Review details below.,Η εισαγωγή απέτυχε. Δείτε τις λεπτομέρειες παρακάτω.
Import finished successfully.,Η εισαγωγή ολοκληρώθηκε με επιτυχία.
Import finished with errors. Review details below.,Η εισαγωγή ολοκληρώθηκε με σφάλματα. Δείτε τις λεπτομέρειες παρακάτω.
Import is currently processing rows.,Η εισαγωγή επεξεργάζεται αυτή τη στιγμή τις σειρές.
Import is retrying after an error.,Η εισαγωγή επιχειρείται εκ νέου μετά από σφάλμα.
Import theme instance file,Εισαγωγή αρχείου παρουσίας θέματος
Import was cancelled.,Η εισαγωγή ακυρώθηκε.
Imported translations from file,Εισήχθησαν μεταφράσεις από αρχείο
in,σε
"In a group, either all relationships must have a hub or none of them.","Σε μια ομάδα, είτε όλες οι σχέσεις πρέπει να έχουν έναν κόμβο είτε καμία από αυτές."
In OCR queue,Στην ουρά OCR
In use,Σε χρήση
Include all entities,Να συμπεριληφθούν όλες οι οντότητες
Include only public,Να συμπεριληφθούν μόνο τα δημόσια
Incoming,Εισερχόμενα
Info,Πληροφορίες
Information extraction training,Εκπαίδευση εξαγωγής πληροφοριών
Inherit,Κληρονόμηση
Inherit property,Κληρονομούμενη ιδιότητα
Inherit type,Κληρονομούμενος τύπος
"Inherited values are read-only. Change the connection above, or edit the source entity.",Οι κληρονομούμενες τιμές είναι μόνο για ανάγνωση. Τροποποιήστε την παραπάνω σύνδεση ή επεξεργαστείτε την οντότητα προέλευσης.
inherits,κληρονομεί
Input,Είσοδος
Input type,Τύπος εισόδου
Install,Εγκατάσταση
Install Language(s),Εγκατάσταση γλωσσών
Install the browser extension.,Εγκαταστήστε την επέκταση του προγράμματος περιήγησης.
Installing languages,Εγκατάσταση γλωσσών
"Instructions on how to achieve this will vary according to the app used, please refer to the app's documentation.","Οι οδηγίες για το πώς να το πετύχετε αυτό διαφέρουν ανάλογα με την εφαρμογή που χρησιμοποιείται, ανατρέξτε στην τεκμηρίωση της εφαρμογής."
Instructions to reset password,"Εάν η παρεχόμενη διεύθυνση email είναι σωστή, θα στείλουμε οδηγίες για την επαναφορά του κωδικού πρόσβασης."
Instructions to reset the password were sent to the user,Οι οδηγίες επαναφοράς κωδικού πρόσβασης στάλθηκαν στον χρήστη
Invalid captcha,Μη έγκυρο CAPTCHA
Invalid csv: all the values for a row must be either nested or non-nested,Μη έγκυρο CSV: όλες οι τιμές μιας γραμμής πρέπει να είναι είτε εμφωλευμένες είτε μη εμφωλευμένες
Invalid csv: nested value need to be under a non-nested value,Μη έγκυρο CSV: οι εμφωλευμένες τιμές πρέπει να βρίσκονται κάτω από μη εμφωλευμένη τιμή
Invalid form,Μια καταχώριση είναι υποχρεωτική ή έχει μη έγκυρη τιμή. Διορθώστε και δοκιμάστε ξανά.
Invalid URL,Μη έγκυρη διεύθυνση URL
It could also very easily break the app. Only write code here if you know exactly what you are doing.,Μπορεί επίσης να προκαλέσει πολύ εύκολα δυσλειτουργία της εφαρμογής. Γράψτε κώδικα εδώ μόνο εάν γνωρίζετε ακριβώς τι κάνετε.
it has been logged with request id #,έχει καταγραφεί με αναγνωριστικό αιτήματος #
Item,Στοιχείο
Items:,Στοιχεία:
Javascript,JavaScript
juris*,δικαιο*
key,κλειδί
Label,Ετικέτα
"Label date ""From""",Από:
"Label date ""to""",Έως:
Labeled,Με ετικέτα
Landing page,Σελίδα προορισμού
Landing page description,"Η σελίδα προορισμού είναι η πρώτη σελίδα που βλέπουν οι επισκέπτες όταν έρχονται στη συλλογή σας. Η προεπιλεγμένη σελίδα προορισμού είναι η βιβλιοθήκη της συλλογής σας. Μπορείτε να ορίσετε διαφορετική σελίδα προορισμού προσθέτοντας το σχετικό της URL εδώ. Για παράδειγμα:

Μια σελίδα: /page/dicxg0oagy3xgr7ixef80k9
Μια φιλτραρισμένη προβολή στο Uwazi: /library/?searchTerm=test
Μια οντότητα: /entity/9htbkgpkyy7j5rk9
Ένα έγγραφο: /document/4y9i99fadjp833di

Σημαντικό: Πρέπει να χρησιμοποιείτε σχετικά URL. Αυτά ξεκινούν με την κάθετο (/) και δεν περιλαμβάνουν το όνομα τομέα. Για παράδειγμα: στη διεύθυνση https://yoursite.com/landingpage, το σχετικό URL είναι /landingpage"
Language,Γλώσσα
Language Code,Κωδικός γλώσσας
Language deleted,Η γλώσσα διαγράφηκε
Language reset success,Επιτυχία επαναφοράς γλώσσας
Language uninstalled successfully,Η γλώσσα απεγκαταστάθηκε με επιτυχία
Language(s),Γλώσσα(ες)
Language:,Γλώσσα:
Languages,Γλώσσες
Languages installed successfully,Οι γλώσσες εγκαταστάθηκαν με επιτυχία
Last updated,Τελευταία ενημέρωση
Last updated from collection:,Τελευταία ενημέρωση από τη συλλογή:
Latitude,Γεωγραφικό πλάτος
Latitude must be between -90 and 90,Το γεωγραφικό πλάτος πρέπει να κυμαίνεται μεταξύ -90 και 90
Learn how to add and configure a contact form on a webpage.,Μάθετε πώς να προσθέτετε και να διαμορφώνετε μια φόρμα επικοινωνίας σε μια ιστοσελίδα.
Learn how to build your first collection,Μάθετε πώς να δημιουργήσετε την πρώτη σας συλλογή
Learn more,Μάθετε περισσότερα
Learn more about the components.,Μάθετε περισσότερα για τα στοιχεία.
Legend,Υπόμνημα
Lengthy reindex process,Χρονοβόρα διαδικασία επαναευρετηριοποίησης
Library,Βιβλιοθήκη
library list view,προβολή λίστας βιβλιοθήκης
library map view,προβολή χάρτη βιβλιοθήκης
library table view,προβολή πίνακα βιβλιοθήκης
Light,Ανοιχτόχρωμο
Light Theme,Ανοιχτόχρωμο θέμα
Link,Σύνδεσμος
linked,συνδεδεμένο
List,Λίστα
List renders as a table. Use the options below to filter empty or zero values.,Η λίστα εμφανίζεται ως πίνακας. Χρησιμοποιήστε τις παρακάτω επιλογές για να φιλτράρετε τις κενές τιμές ή τις τιμές μηδέν.
Live preview,Ζωντανή προεπισκόπηση
Live translate,Ζωντανή μετάφραση
Load,Φόρτωση
Load example,Φόρτωση παραδείγματος
Load more,Φόρτωση περισσότερων
Loading,Φόρτωση
Local time,Τοπική ώρα
Login,Σύνδεση
Login button,Σύνδεση
Login failed,Η σύνδεση απέτυχε
Logout,Αποσύνδεση
Longitude,Γεωγραφικό μήκος
Longitude must be between -180 and 180,Το γεωγραφικό μήκος πρέπει να κυμαίνεται μεταξύ -180 και 180
Lookup help,Βοήθεια αναζήτησης
Lost connection to the server. Your changes may be lost,Η σύνδεση με τον διακομιστή χάθηκε. Οι αλλαγές σας ενδέχεται να χαθούν.
low,χαμηλό
Machine translated — editing this row clears the marker,Machine translated — editing this row clears the marker
Manage relationship types,Διαχείριση τύπων σχέσεων
Manage site settings and configuration,Διαχείριση ρυθμίσεων και διαμόρφωσης ιστότοπου
Manage types,Διαχείριση τύπων
Manual data,Δεδομένα χειροκίνητης εισαγωγής
Manually set a color,Χειροκίνητη ρύθμιση χρώματος
Map,Χάρτης
Map api key,Κλειδί API χάρτη
Map API key,Κλειδί API χάρτη
Map api key tooltip,Για τη χρήση του Mapbox ή του Google Maps απαιτείται κλειδί API.
Map Layers,Επίπεδα χάρτη
Map layers description,Περιγραφή επιπέδων χάρτη
Map Provider,Πάροχος χάρτη
Map view,Προβολή χάρτη
Mapbox,Mapbox
Mapping conflict error,"Είναι απαραίτητη η επαναευρετηριοποίηση της συλλογής σας. Ο λόγος μπορεί να ποικίλλει
         -- από συγκεκριμένες αλλαγές που έγιναν σε ιδιότητα προτύπου μέχρι νέα πεδία
         που πρέπει να συμπληρωθούν σε όλες τις οντότητες.
         Αυτή η διαδικασία δεν θα επηρεάσει αρνητικά τα δεδομένα της συλλογής σας.
         Μπορεί να διαρκέσει μερικά λεπτά και ορισμένα τμήματα της συλλογής σας ενδέχεται
         να χρειαστούν κάποιο χρόνο για να επανεμφανιστούν στη βιβλιοθήκη, αλλά αυτό είναι προσωρινό. Θέλετε να συνεχίσετε;"
Maps,Χάρτες
Mark as Reviewed,Σήμανση ως επιθεωρημένο
Mark as reviewed,Σήμανση ως επιθεωρημένο
Markdown,Markdown
"Markdown support in custom pages will be discontinued starting in 2027. Upgrade this page
          when its content no longer relies on Markdown syntax.","Η υποστήριξη της σύνταξης Markdown στις προσαρμοσμένες σελίδες θα καταργηθεί από το 2027. Αναβαθμίστε αυτή τη σελίδα
 όταν το περιεχόμενό της δεν θα βασίζεται πλέον στη σύνταξη Markdown."
marked and labeled,επισημασμένο και με ετικέτα
marked for training,επισημασμένο για εκπαίδευση
Marked for training + all labeled entries,Επισημασμένα για εκπαίδευση + όλες οι καταχωρίσεις με ετικέτα
Marked for training only,Μόνο επισημασμένα για εκπαίδευση
Match,Αντιστοιχία
match,αποτέλεσμα
match verbatim,ακριβής αντιστοίχιση
matches,αποτελέσματα
"matches jurisdiction, jurists, jurisprudence","σχετίζεται με τη δικαιοδοσία, τους νομικούς, τη νομολογία"
Matches show the passage and the page they are on.,Τα αποτελέσματα εμφανίζουν το απόσπασμα και τη σελίδα στην οποία βρίσκονται.
Matching,Αντιστοίχιση
matching,αντιστοίχιση
Matomo,Matomo
Members,Μέλη
Menu,Μενού
Message,Μήνυμα
Message sent,Το μήνυμα στάλθηκε
Metadata,Μεταδεδομένα
Metadata Extraction,Εξαγωγή μεταδεδομένων
"Metric shows a single total count. Select Pie, Bar, or another chart type above to
            configure categories, labels, and slices. Use the Appearance tab for colors.","Το μετρικό γράφημα εμφανίζει έναν ενιαίο συνολικό αριθμό. Επιλέξτε «Πίτα», «Ράβδοι» ή άλλο τύπο γραφήματος παραπάνω για να
 ρυθμίσετε τις κατηγορίες, τις ετικέτες και τα τμήματα. Χρησιμοποιήστε την καρτέλα «Εμφάνιση» για τα χρώματα."
MIGRATE,ΜΕΤΕΓΚΑΤΑΣΤΑΣΗ
Minimum,Ελάχιστο
Mismatch,Αναντιστοιχία
mismatched passwords,Οι κωδικοί δεν ταιριάζουν
mismatching,αναντιστοίχιση
Mixed access,Μικτή πρόσβαση
ML TOC,Πίνακας περιεχομένων ML
Modified,Τροποποιημένο
Month,Μήνας
Months,Μήνες
More,Περισσότερα
more,περισσότερα
more options.,περισσότερες επιλογές.
More rows per screen; same type size,Περισσότερες σειρές στην οθόνη· ίδιο μέγεθος γραμματοσειράς
Multi-source mode,Λειτουργία πολλαπλών πηγών
Multiple date,Πολλαπλή ημερομηνία
Multiple date range,Πολλαπλό εύρος ημερομηνιών
Multiple inherited properties warning ([property 1] affects [property 2]),επηρεάζει
Multiple matches found,Βρέθηκαν πολλά αποτελέσματα
Multiple relationships edit description,Οι αλλαγές σε αυτήν την ιδιότητα θα επηρεάσουν άλλες ιδιότητες σε αυτό το πρότυπο επειδή όλες μοιράζονται σχέσεις με την ίδια διαμόρφωση.
Multiple select,Πολλαπλή επιλογή
Name,Όνομα
Name is required,Το όνομα είναι υποχρεωτικό
Name is too long,Το όνομα είναι πολύ μεγάλο
Name is too short,Το όνομα είναι πολύ σύντομο
Narrow down your searches,Περιορίστε τις αναζητήσεις σας
"Narrow entities before aggregation. With multiple sources, pick the property under the
        source alias so each filter applies only to that series.","Περιορίστε τις οντότητες πριν από τη συγκέντρωση. Όταν υπάρχουν πολλές πηγές, επιλέξτε την ιδιότητα κάτω από το
 ψευδώνυμο της πηγής, ώστε κάθε φίλτρο να ισχύει μόνο για τη συγκεκριμένη σειρά."
Narrow your search,Περιορίστε την αναζήτησή σας
Navigate back,Πλοήγηση πίσω
Navigation menu tool tip part 1,"Εάν είναι εσωτερικό URL εντός αυτού του ιστότοπου, φροντίστε να διαγράψετε το πρώτο τμήμα"
Navigation menu tool tip part 2,αφήνοντας μόνο ένα σχετικό URL που ξεκινά με κάθετο (/). Δηλαδή /some_url.
New,Νέο
New activity will show up here.,Οι νέες δραστηριότητες θα εμφανίζονται εδώ.
New conversation,Νέα συζήτηση
New entity,Νέα οντότητα
New group,Νέα ομάδα
New language added,Προστέθηκε νέα γλώσσα
New page,Νέα σελίδα
New password,Νέος κωδικός πρόσβασης
New primary doc,Νέο κύριο έγγραφο
New relation type label…,Νέα ετικέτα τύπου σχέσης…
New relationship type,Νέος τύπος σχέσης
New relationships group,Νέα ομάδα σχέσεων
New Relationships Migration,Μετεγκατάσταση νέων σχέσεων
New user,Νέος χρήστης
Next,Επόμενο
No,Όχι
No attachments,Δεν υπάρχουν συνημμένα αρχεία
No audio or video on this entity,Δεν υπάρχει ήχος ή βίντεο για αυτή την οντότητα
No chart types match your search.,Δεν υπάρχουν τύποι γραφημάτων που να αντιστοιχούν στην αναζήτησή σας.
No common filters,Δεν υπάρχουν κοινά φίλτρα
No connected entities yet.,Δεν υπάρχουν ακόμη συνδεδεμένες οντότητες.
No Connections,Δεν υπάρχουν συνδέσεις
No Connections description,Οι συνδέσεις είναι οι άμεσες σχέσεις μεταξύ αυτού του εγγράφου και άλλων εγγράφων και οντοτήτων.
No context,Δεν υπάρχει πλαίσιο
No CSVs yet,Δεν υπάρχουν ακόμη αρχεία CSV
No data,Δεν υπάρχουν δεδομένα
NO DATA AVAILABLE,ΔΕΝ ΥΠΑΡΧΟΥΝ ΔΙΑΘΕΣΙΜΑ ΔΕΔΟΜΕΝΑ
No entities found,Δεν βρέθηκαν οντότητες
NO EXTRACTORS,ΔΕΝ ΥΠΑΡΧΟΥΝ ΕΞΑΓΩΓΕΙΣ
No files available,Δεν υπάρχουν διαθέσιμα αρχεία
No files queued yet.,Δεν υπάρχουν ακόμα αρχεία στην ουρά.
no filters for templates,Ο συνδυασμός τύπων οντοτήτων δεν έχει κοινά φίλτρα.
No Group,Δεν υπάρχει ομάδα
No icon / flag,Χωρίς εικονίδιο/σημαία
No images on this entity,Δεν υπάρχουν εικόνες για αυτήν την οντότητα
No items available,Δεν υπάρχουν διαθέσιμα στοιχεία
No Label,Χωρίς ετικέτα
No label,Χωρίς ετικέτα
No matches for,Δεν βρέθηκαν αποτελέσματα για
No matches.,Δεν βρέθηκαν αποτελέσματα.
No matching entities.,Δεν βρέθηκαν αντίστοιχες οντότητες.
No media selected,Δεν έχει επιλεγεί κανένα μέσο
No metadata for this entity yet.,Δεν υπάρχουν ακόμη μεταδεδομένα για αυτήν την οντότητα.
No options,Δεν υπάρχουν επιλογές
No options found,Δεν βρέθηκαν επιλογές
No page,Δεν υπάρχει σελίδα
No people or groups added yet,Δεν έχουν προστεθεί ακόμα άτομα ή ομάδες
No primary documents,Δεν υπάρχουν κύρια έγγραφα
No primary documents yet. Add a file to get started.,Δεν υπάρχουν ακόμη κύρια έγγραφα. Προσθέστε ένα αρχείο για να ξεκινήσετε.
No property,Το στοιχείο δεν έχει αυτήν την ιδιότητα
No References,Δεν υπάρχουν αναφορές
No References description,Οι αναφορές είναι τμήματα αυτού του εγγράφου που σχετίζονται με άλλα έγγραφα και οντότητες.
No relationship types,Δεν υπάρχουν τύποι σχέσεων
No Relationships,Δεν υπάρχουν σχέσεις
No Relationships description,Οι σχέσεις είναι δεσμοί μεταξύ οντοτήτων.
No relationships found,Δεν βρέθηκαν σχέσεις
No relationships to graph,Δεν υπάρχουν σχέσεις προς απεικόνιση.
No releases yet,Δεν υπάρχουν ακόμη εκδόσεις
No results found,Δεν βρέθηκαν αποτελέσματα
No supporting files yet. Add a file to get started.,Δεν υπάρχουν ακόμη υποστηρικτικά αρχεία. Προσθέστε ένα αρχείο για να ξεκινήσετε.
No table of contents,Δεν υπάρχει πίνακας περιεχομένων
No Table of contents,Δεν υπάρχει πίνακας περιεχομένων
No table of contents description,"Ο πίνακας περιεχομένων εμφανίζει τη δομή του εγγράφου για εύκολη πλοήγηση. Μπορείτε να ξεκινήσετε επιλέγοντας κείμενο στο έγγραφο και κάνοντας κλικ στο κουμπί ""Προσθήκη στον πίνακα περιεχομένων""."
No templates available to add.,Δεν υπάρχουν διαθέσιμα πρότυπα για προσθήκη.
No text match,Δεν υπάρχει αντιστοιχία κειμένου
No text match description,Μπορείτε να πληκτρολογήσετε κάτι διαφορετικό στο πλαίσιο αναζήτησης για να λάβετε αποτελέσματα.
No timelinks added,Δεν έχουν προστεθεί χρονικοί σύνδεσμοι
No translation in,Δεν υπάρχει μετάφραση σε
No type,Κανένας τύπος
No uploaded images fit the requirements,Καμία από τις μεταφορτωμένες εικόνες δεν πληροί αυτές τις απαιτήσεις μεγέθους. Μεταφορτώστε μια νέα εικόνα ή χρησιμοποιήστε ένα πρόγραμμα επεξεργασίας για να αλλάξετε το μέγεθος ενός υπάρχοντος αρχείου.
No user or group found,Δεν βρέθηκε κανένας χρήστης ή ομάδα
No valid target template available,Δεν υπάρχει διαθέσιμο έγκυρο πρότυπο στόχου
No value,Χωρίς τιμή
No Value,Χωρίς τιμή
No visualization data available.,Δεν υπάρχουν διαθέσιμα δεδομένα απεικόνισης.
"No, cancel","Όχι, ακύρωση"
no-toc-description,"Μπορείτε να ξεκινήσετε επιλέγοντας κείμενο στο έγγραφο και κάνοντας κλικ στο κουμπί
              «Προσθήκη στον πίνακα περιεχομένων»."
Non processed,Μη επεξεργασμένο
Non-labeled,Χωρίς ετικέτα
Non-latin characters support,Υποστήριξη μη λατινικών χαρακτήρων
None,Καμία
Normal view,Κανονική προβολή
Not already been use as source template in another extractor,Δεν έχει ήδη χρησιμοποιηθεί ως πρότυπο πηγής σε άλλο εξαγωγέα
Not already been use as target template,Δεν έχει ήδη χρησιμοποιηθεί ως πρότυπο στόχου
Not Found,Δεν βρέθηκε
Nothing here yet.,Δεν υπάρχει τίποτα εδώ ακόμα.
Nothing selected,Δεν έχει επιλεγεί τίποτα
Notifications,Ειδοποιήσεις
Obsolete,Παρωχημένο
obsolete,παρωχημένο
OCR,OCR
OCR button tip,Αυτό θα επεξεργαστεί το έγγραφο για την αναγνώριση του κειμένου του. Το αρχικό αρχείο θα προστεθεί ως υποστηρικτικό αρχείο.
OCR completed,Το OCR ολοκληρώθηκε
OCR description tip 1,"Αυτό θα ενεργοποιήσει τη λειτουργία Οπτικής Αναγνώρισης Χαρακτήρων (OCR) για έγγραφα PDF. Η υπηρεσία αυτή θα αναγνωρίζει κείμενο μέσα σε εικόνες, όπως σαρωμένα έγγραφα και φωτογραφίες, και θα το μετατρέπει σε αναγνώσιμα από μηχανή δεδομένα κειμένου."
OCR description tip 2,"Όταν ενεργοποιηθεί, αυτό θα επιτρέψει στους διαχειριστές και επιμελητές να στέλνουν έγγραφα PDF στην υπηρεσία OCR."
OCR error,Σφάλμα OCR
OCR error tip,Η υπηρεσία OCR δεν μπόρεσε να διαβάσει το έγγραφο λόγω εσφαλμένης μορφής. Τελευταία ενημέρωση:
OCR PDF,OCR PDF
of,από
Ok,Εντάξει
OK,Εντάξει
On this entity,Σε αυτή την οντότητα
one character,ένας χαρακτήρας
Only essential,Μόνο τα απαραίτητα
"Only properties with the same name and configuration in every data source are available
            for both dimensions.","Μόνο οι ιδιότητες με το ίδιο όνομα και την ίδια διαμόρφωση σε κάθε πηγή δεδομένων είναι διαθέσιμες
 και για τις δύο διαστάσεις."
Only published entities are counted.,Λαμβάνονται υπόψη μόνο οι δημοσιευμένες οντότητες.
"Only templates that are not used as source in any other extractor and are not
                selected as target in this extractor are available for selection.","Μόνο τα πρότυπα που δεν χρησιμοποιούνται ως πηγή σε κανέναν άλλο εξαγωγέα και δεν έχουν
                επιλεγεί ως προορισμός σε αυτόν τον εξαγωγέα είναι διαθέσιμα για επιλογή."
"Only templates with at least one rich text property and one numeric property are
                available for selection.","Μόνο τα πρότυπα με τουλάχιστον μία ιδιότητα εμπλουτισμένου κειμένου
                και μία αριθμητική ιδιότητα είναι διαθέσιμα για επιλογή."
"Only the extractor will be deleted, all created entities will remain on the library.","Μόνο ο εξαγωγέας θα διαγραφεί, όλες οι δημιουργημένες οντότητες θα παραμείνουν στη βιβλιοθήκη."
Open,Άνοιγμα
Open entity,Άνοιγμα οντότητας
Open group,Άνοιγμα ομάδας
Open link,Άνοιγμα συνδέσμου
Open PDF,Άνοιγμα PDF
Open the two-factor Authenticator app on your device,Ανοίξτε την εφαρμογή πιστοποίησης δύο παραγόντων στη συσκευή σας
Options,Επιλογές
or,ή
