Key,Turkish
Import finished successfully.,İçe aktarma işlemi başarıyla tamamlandı.
Import finished with errors. Review details below.,İçe aktarma işlemi hatalarla sonuçlandı. Aşağıdaki ayrıntıları inceleyin.
Import is currently processing rows.,İçe aktarma işlemi şu anda satırları işliyor.
Import is retrying after an error.,Bir hata sonrasında içe aktarma işlemi yeniden deneniyor.
Import theme instance file,Tema örneği dosyasını içe aktar
Import was cancelled.,İçe aktarma işlemi iptal edildi.
Imported translations from file,Dosyadan çeviriler içe aktarıldı
in,içinde
"In a group, either all relationships must have a hub or none of them.","Bir grupta, ya tüm ilişkilerin bir merkez noktası olmalı ya da hiçbirinin olmamalıdır."
In OCR queue,OCR kuyruğunda
In use,Kullanımda
Include all entities,Tüm varlıklar dahil edilsin
Include only public,Yalnızca herkese açık olanları ekle
Incoming,Gelen
Info,Bilgi
Information extraction training,Bilgi çıkarma eğitimi
Inherit,Devral
Inherit property,Özelliği devral
Inherit type,Türü devral
"Inherited values are read-only. Change the connection above, or edit the source entity.",Devralınan değerler salt okunurdur. Yukarıdaki bağlantıyı değiştirin veya kaynak varlığı düzenleyin.
inherits,devralır
Input,Giriş
Input type,Giriş türü
Install,Yükle
Install Language(s),Dilleri Yükle
Install the browser extension.,Tarayıcı uzantısını yükleyin.
Installing languages,Diller yükleniyor
"Instructions on how to achieve this will vary according to the app used, please refer to the app's documentation.","Bunu gerçekleştirmeye yönelik talimatlar, kullanılan uygulamaya göre değişiklik gösterebilir; lütfen uygulamanın kullanım kılavuzuna başvurun."
Instructions to reset password,"Verilen e-posta adresi doğruysa, şifreyi sıfırlamak için gerekli talimatları göndereceğiz."
Instructions to reset the password were sent to the user,Kullanıcıya şifreyi sıfırlama talimatları gönderildi
Invalid captcha,Geçersiz güvenlik kodu
Invalid csv: all the values for a row must be either nested or non-nested,Geçersiz CSV: Bir satırdaki tüm değerler ya iç içe geçmiş ya da iç içe geçmemiş olmalıdır
Invalid csv: nested value need to be under a non-nested value,"Geçersiz CSV: İç içe geçmiş değerlerin, iç içe geçmemiş bir değerin altında yer alması gerekir"
Invalid form,Bir alan zorunludur veya geçersiz bir değer içeriyor. Lütfen düzeltip tekrar deneyin.
Invalid URL,Geçersiz URL
It could also very easily break the app. Only write code here if you know exactly what you are doing.,Ayrıca uygulamayı çok kolay bozabilir. Buraya sadece tam olarak ne yaptığınızı biliyorsanız kod yazın.
it has been logged with request id #,"Bu olay, # numaralı istek kimliği ile kaydedilmiştir."
Item,Öğe
Items:,Öğeler:
Javascript,JavaScript
juris*,hukuk*
key,Turkish
Label,Etiket
"Label date ""From""",Başlangıç:
"Label date ""to""",Son:
Labeled,Etiketli
Landing page,Açılış sayfası
Landing page description,"Açılış sayfası, ziyaretçilerin koleksiyonunuza geldiklerinde gördükleri ilk sayfadır. Varsayılan açılış sayfası, koleksiyonunuzun kütüphanesidir. Buraya göreli URL'sini ekleyerek farklı bir açılış sayfası belirleyebilirsiniz. Örneğin:

Bir sayfa: */page/dicxg0oagy3xgr7ixef80k9*
Uwazi'de filtrelenmiş bir görünüm: */library/?searchTerm=test*
Bir varlık: */entity/9htbkgpkyy7j5rk9*
Bir belge: */document/4y9i99fadjp833di*

Önemli: Göreli URL kullanmanız gerekir. Bu URL'ler bir eğik çizgiyle başlar ve alan adını içermez. Örneğin: *https://yoursite.com/landingpage* adresinde göreli URL /landingpage'dir."
Language,Dil
Language Code,Dil Kodu
Language deleted,Dil silindi
Language reset success,Dil sıfırlama işlemi başarıyla tamamlandı
Language uninstalled successfully,Dil başarıyla kaldırıldı
Language(s),Dil(ler)
Language:,Dil:
Languages,Diller
Languages installed successfully,Diller başarıyla yüklendi
Last updated,Son güncelleme tarihi
Last updated from collection:,Koleksiyondan en son güncellenme tarihi:
Latitude,Enlem
Latitude must be between -90 and 90,"Enlem, -90 ile 90 arasında olmalıdır"
Learn how to add and configure a contact form on a webpage.,Bir web sayfasına iletişim formu eklemeyi ve yapılandırmayı öğrenin.
Learn how to build your first collection,İlk koleksiyonunuzu nasıl oluşturacağınızı öğrenin
Learn more,Daha fazla bilgi edin
Learn more about the components.,Bileşenler hakkında daha fazla bilgi edinin.
Legend,Gösterge
Lengthy reindex process,Uzun süren yeniden indeksleme işlemi
Library,Kütüphane
library list view,kütüphane listesi görünümü
library map view,kütüphane harita görünümü
library table view,kütüphane tablo görünümü
Light,Açık
Light Theme,Açık Tema
Link,Bağlantı
linked,bağlantılı
List,Liste
List renders as a table. Use the options below to filter empty or zero values.,Liste bir tablo olarak görüntülenir. Boş veya sıfır değerleri filtrelemek için aşağıdaki seçenekleri kullanın.
Live preview,Canlı önizleme
Live translate,Canlı çeviri
Load,Yükle
Load example,Örnek yükle
Load more,Daha fazlasını yükle
Loading,Yükleniyor
Local time,Yerel saat
Login,Giriş
Login button,Giriş
Login failed,Giriş başarısız
Logout,Çıkış
Longitude,Boylam
Longitude must be between -180 and 180,"Boylam, -180 ile 180 arasında olmalıdır"
Lookup help,Arama yardımı
Lost connection to the server. Your changes may be lost,Sunucuyla bağlantı kesildi. Yaptığınız değişiklikler kaybolabilir.
low,düşük
Machine translated — editing this row clears the marker,Machine translated — editing this row clears the marker
Manage relationship types,İlişki türlerini yönetme
Manage site settings and configuration,Site ayarlarını ve yapılandırmasını yönetin
Manage types,Türleri yönet
Manual data,Manuel veriler
Manually set a color,Bir rengi manuel olarak ayarla
Map,Harita
Map api key,Harita API anahtarı
Map API key,Harita API anahtarı
Map api key tooltip,Mapbox veya Google Maps'i kullanmak için bir API anahtarı gereklidir.
Map Layers,Harita Katmanları
Map layers description,Harita katmanlarının açıklaması
Map Provider,Harita Sağlayıcısı
Map view,Harita görünümü
Mapbox,Mapbox
Mapping conflict error,"Koleksiyonunuzun yeniden indekslenmesi gerekiyor. Bunun nedeni, bir şablonun özelliğinde yapılan değişikliklerden
        varlıklar genelinde doldurulması gereken yeni alanlara kadar çeşitli olabilir.
        Bu işlem, koleksiyonunuzdaki verileri olumsuz etkilemeyecektir.
        İşlem birkaç dakika sürebilir ve koleksiyonunuzun bazı bölümlerinin Kütüphane'de yeniden görünmesi
        biraz zaman alabilir, ancak bu geçicidir. Devam etmek istiyor musunuz?"
Maps,Haritalar
Mark as Reviewed,İncelendi olarak işaretle
Mark as reviewed,"""İncelendi"" olarak işaretle"
Markdown,Not et
"Markdown support in custom pages will be discontinued starting in 2027. Upgrade this page
          when its content no longer relies on Markdown syntax.","Özel sayfalarda Markdown desteği, 2027 yılından itibaren sonlandırılacaktır. Bu sayfanın içeriği artık Markdown sözdizimine bağlı olmadığında
sayfayı güncelleyin."
marked and labeled,işaretlenmiş ve etiketlenmiş
marked for training,eğitim için işaretlenmiş
Marked for training + all labeled entries,Eğitim için işaretlenmiş + tüm etiketli girdiler
Marked for training only,Yalnızca eğitim için işaretlenmiş
Match,Eşleşme
match,eşleşme
match verbatim,kelimesi kelimesine eşleştir
matches,eşleşmeler
"matches jurisdiction, jurists, jurisprudence","hukuki yetki, hukukçu, hukuk bilimiyle eşleşir"
Matches show the passage and the page they are on.,"Eşleşmeler, ilgili pasajı ve bulundukları sayfayı gösterir."
Matching,Eşleştirme
matching,eşleşen
Matomo,Matomo
Members,Üyeler
Menu,Menü
Message,Mesaj
Message sent,Mesaj gönderildi
Metadata,Meta veri
Metadata Extraction,Meta veri özütleme
"Metric shows a single total count. Select Pie, Bar, or another chart type above to
            configure categories, labels, and slices. Use the Appearance tab for colors.","Metrik, tek bir toplam sayıyı gösterir. Kategorileri, etiketleri ve dilimleri yapılandırmak için yukarıdan Pasta, Çubuk veya başka bir grafik türü seçin.
Renkler için Görünüm sekmesini kullanın."
MIGRATE,TAŞIMA
Minimum,En az
Mismatch,Uyumsuzluk
mismatched passwords,Şifreler uyuşmuyor
mismatching,uyumsuzluk
Mixed access,Karma erişim
ML TOC,ML İçindekiler
Modified,Değiştirildi
Month,Ay
Months,Aylar
More,Daha fazla
more,daha fazla
more options.,daha fazla seçenek.
More rows per screen; same type size,Ekranda daha fazla satır; aynı yazı tipi boyutu
Multi-source mode,Çoklu kaynak modu
Multiple date,Birden fazla tarih
Multiple date range,Birden fazla tarih aralığı
Multiple inherited properties warning ([property 1] affects [property 2]),etkiler
Multiple matches found,Birden fazla eşleşme bulundu
Multiple relationships edit description,"Bu özelliğe yapılacak değişiklikler, bu şablondaki diğer özellikleri de etkileyecektir; zira hepsi aynı yapılandırma ile ilişkili durumdadır."
Multiple select,Çoklu seçim
Name,Ad
Name is required,Ad gerekli
Name is too long,Ad çok uzun
Name is too short,Ad çok kısa
Narrow down your searches,Aramalarınızı daraltın
"Narrow entities before aggregation. With multiple sources, pick the property under the
        source alias so each filter applies only to that series.","Toplamadan önce varlıkların kapsamını daraltın. Birden fazla kaynak varsa, her bir filtrenin yalnızca o seriye uygulanması için
kaynak takma adının altındaki özelliği seçin."
Narrow your search,Aramanızı daraltın
Navigate back,Geri dön
Navigation menu tool tip part 1,"Eğer bu web sitesi içindeki bir URL ise, ilk kısmını mutlaka silin"
Navigation menu tool tip part 2,geriye yalnızca bir eğik çizgi karakteriyle başlayan göreceli bir URL kalır. Örneğin: /some_url.
New,Yeni
New activity will show up here.,Yeni etkinlikler burada görünecektir.
New conversation,Yeni sohbet
New entity,Yeni varlık
New group,Yeni grup
New language added,Yeni dil eklendi
New page,Yeni sayfa
New password,Yeni parola
New primary doc,Yeni birincil belge
New relation type label…,Yeni ilişki türü etiketi…
New relationship type,Yeni ilişki türü
New relationships group,Yeni ilişkiler grubu
New Relationships Migration,Yeni İlişkilerin Taşınması
New user,Yeni kullanıcı
Next,Sonraki
No,Hayır
No attachments,Ek yok
No audio or video on this entity,Bu varlıkta ses veya video yok
No chart types match your search.,Aramanızla eşleşen grafik türü bulunamadı.
No common filters,Ortak filtre yok
No connected entities yet.,Henüz bağlı varlık yok.
No Connections,Bağlantı yok
No Connections description,"Bağlantılar, bu belge ile diğer belgeler ve varlıklar arasındaki doğrudan ilişkilerdir."
No context,Bağlam yok
No CSVs yet,Henüz CSV dosyası yok
No data,Veri yok
NO DATA AVAILABLE,VERİ YOK
No entities found,Hiçbir varlık bulunamadı
NO EXTRACTORS,ÇIKARICI YOK
No files available,Mevcut dosya yok
No files queued yet.,Henüz kuyruğa alınmış dosya yok.
no filters for templates,Varlık türlerinin birleşiminde ortak hiçbir filtre bulunmamaktadır.
No Group,Grup Yok
No icon / flag,Simge/İşaret yok
No images on this entity,Bu varlıkta resim yok
No items available,Mevcut öğe yok
No Label,Etiket yok
No label,Etiket yok
No matches for,için hiçbir sonuç bulunamadı
No matches.,Eşleşme bulunamadı.
No matching entities.,Eşleşen varlık bulunamadı.
No media selected,Seçilen medya yok
No metadata for this entity yet.,Bu varlık için henüz meta veri bulunmamaktadır.
No options,Seçenek yok
No options found,Seçenek bulunamadı
No page,Sayfa yok
No people or groups added yet,Henüz hiçbir kişi veya grup eklenmemiştir
No primary documents,Birincil belge bulunmamaktadır
No primary documents yet. Add a file to get started.,Henüz birincil belge yok. Başlamak için bir dosya ekleyin.
No property,Öğede bu özellik bulunmuyor
No References,Referans Yok
No References description,"Referanslar, bu belgenin diğer belgeler ve varlıklarla ilişkili kısımlarıdır."
No relationship types,İlişki türü yok
No Relationships,İlişki yok
No Relationships description,"İlişkiler, varlıklar arasındaki bağlardır."
No relationships found,Hiçbir ilişki bulunamadı
No relationships to graph,Grafikteki ilişkiler yok
No releases yet,Henüz sürüm yok
No results found,Sonuç bulunamadı
No supporting files yet. Add a file to get started.,Henüz destekleyici dosya yok. Başlamak için bir dosya ekleyin.
No table of contents,İçerik Tablosu yok
No Table of contents,İçindekiler yok
No table of contents description,"Belgedeki metni seçip ""İçindekiler'e Ekle"" düğmesine tıklayarak başlayabilirsiniz."
No templates available to add.,Eklenebilecek şablon bulunmamaktadır.
No text match,Metin Eşleşmesi Yok
No text match description,Bazı sonuçlar elde etmek için arama kutusuna farklı bir şey yazabilirsiniz.
No timelinks added,Zaman bağlantısı eklenmedi
No translation in,Çeviri yok
No type,Tür yok
No uploaded images fit the requirements,Yüklenen resimlerden hiçbiri bu boyut gereksinimlerine uymuyor. Yeni bir resim yükleyin veya bir düzenleyici kullanarak mevcut dosyanın boyutunu değiştirin.
No user or group found,Hiçbir kullanıcı veya grup bulunamadı
No valid target template available,Kullanılabilir geçerli bir hedef şablon bulunmuyor
No value,Değer yok
No Value,Değer yok
No visualization data available.,Görselleştirme verisi mevcut değil.
"No, cancel","Hayır, iptal et"
no-toc-description,"Belgedeki metni seçip ""İçindekiler'e
Ekle"" düğmesine tıklayarak başlayabilirsiniz."
Non processed,İşlenmemiş
Non-labeled,Etiketsiz
Non-latin characters support,Latin dışı karakter desteği
None,Yok
Normal view,Normal görünüm
Not already been use as source template in another extractor,Başka bir ayıklayıcıda kaynak şablon olarak henüz kullanılmamış
Not already been use as target template,Henüz hedef şablon olarak kullanılmamış
Not Found,Bulunamadı
Nothing here yet.,Henüz burada bir şey yok.
Nothing selected,Hiçbir öğe seçilmedi
Notifications,Bildirimler
Obsolete,Eski
obsolete,eski
OCR,OKT
OCR button tip,"Bu işlem, belgedeki metni tanımak için belgeyi işleyecektir. Orijinal dosya, destekleyici dosya olarak eklenecektir."
OCR completed,OKT tamamlandı
OCR description tip 1,"Bu işlem, PDF belgeleri için Optik Karakter Tanıma (OCR) işlevini etkinleştirecektir. Bu hizmet, taranmış belgeler ve fotoğraflar gibi görsellerin içindeki metni tanıyacak ve bunu makine tarafından okunabilir metin verisine dönüştürecektir."
OCR description tip 2,"Bu özellik etkinleştirildiğinde, yönetici ve editör kullanıcıları PDF belgelerini OCR hizmetine gönderebileceklerdir."
OCR error,OKT hatası
OCR error tip,"OCR motoru, biçim hatası nedeniyle belgeyi okuyamadı. Son güncelleme tarihi"
OCR PDF,OKT PDF
of,nın-nin
Ok,Tamam
OK,TAMAM
On this entity,Bu varlıkta
one character,bir karakter
Only essential,Sadece zorunlu olanlar
"Only properties with the same name and configuration in every data source are available
            for both dimensions.","Her iki boyut için de yalnızca tüm veri kaynaklarında aynı ada ve yapılandırmaya sahip özellikler
kullanıma açıktır."
Only published entities are counted.,Yalnızca yayınlanmış varlıklar sayılır.
"Only templates that are not used as source in any other extractor and are not
                selected as target in this extractor are available for selection.","Yalnızca başka hiçbir ayıklayıcıda kaynak olarak kullanılmayan ve bu ayıklayıcıda
hedef olarak seçilmemiş şablonlar seçim için kullanılabilir."
"Only templates with at least one rich text property and one numeric property are
                available for selection.","Yalnızca en az bir zengin metin özelliği ve bir sayısal özelliğe sahip şablonlar
seçim için kullanılabilir."
"Only the extractor will be deleted, all created entities will remain on the library.","Yalnızca çıkarıcı silinecek, oluşturulan tüm varlıklar kütüphanede kalacaktır."
Open,Aç
Open entity,Varlığı aç
Open group,Grubu aç
Open link,Bağlantıyı aç
Open PDF,PDF'yi aç
Open the two-factor Authenticator app on your device,Cihazınızda iki faktörlü Kimlik Doğrulayıcı uygulamasını açın
Options,Seçenekler
or,ya da
or drag and drop here,ya da buraya sürükleyip bırakın
or drop your files here.,veya dosyalarınızı buraya bırakın.
Or paste a URL,Ya da bir URL yapıştırın
Order,Düzen
Other,Diğer
other,Diğer
Other users will be affected by this action!,Bu işlem diğer kullanıcıları da etkileyecektir!
Others,Diğerleri
Outgoing,Giden
p.,s.
Page,Sayfa
Page not found,Sayfa bulunamadı
Page published successfully.,Sayfa başarıyla yayınlandı.
Pages,Sayfalar
Paragrap number extraction property (numeric),Paragraf numarası çıkarma özelliği (sayısal)
Paragraph,Paragraf
Paragraph Extraction,Paragraf Çıkarma
Paragraph Extractor added,Paragraf Çıkarıcı eklendi
Paragraph text extraction property (rich text),Paragraf metni çıkarma özelliği (zengin metin)
Paragraphs,Paragraflar
Paragraphs deleted,Paragraflar silindi
parties,taraflar
Password,Parola
Password + 2fa,Şifre + 2FA
Password changed success,Şifre başarıyla değiştirildi
Password is too long,Parola çok uzun
Passwords do not match,Şifreler eşleşmiyor
Paste an audio or video URL to use it as this property without uploading a file. Press Enter to apply.,Bir dosyayı yüklemeden bu özellik olarak kullanmak üzere bir ses veya video URL’sini yapıştırın. Uygulamak için Enter tuşuna basın.
Paste an image URL to use it as this property without uploading a file. Press Enter to apply.,Bir dosyayı yüklemeden bu özellik olarak kullanmak üzere bir resim URL’sini yapıştırın. Uygulamak için Enter tuşuna basın.
Paste this tag in a page HTML. The chart uses the page language.,"Bu etiketi bir sayfanın HTML koduna yapıştırın. Grafik, sayfanın dilini kullanır."
Paste URL,URL'yi yapıştır
Paste URL here,URL'yi buraya yapıştırın
PDF,PDF
Pending,Beklemede
People and groups,Kişiler ve gruplar
per page,sayfa başına
Permission,İzin
Permission level,İzin düzeyi
Permission on entities explicitly shared with the user,Kullanıcıyla açıkça paylaşılan varlıklara ilişkin izin
Permissions,İzinler
Permissions updated,İzinler güncellendi
Pick a color,Bir renk seçin
Pick another,Başka birini seçin
Plain text,Düz metin
Please contact an admin for details.,Ayrıntılar için lütfen bir yöneticiyle iletişime geçin.
Please type in,Lütfen şunu yazın
Please type in letters and numbers from the image to start the export.,Dışa aktarmayı başlatmak için lütfen resimdeki harfleri ve sayıları girin.
Pre-filled from your selection. Edit as needed.,Seçiminize göre önceden doldurulmuştur. Gerektiği şekilde düzenleyin.
Preflight scan completed.,Ön tarama tamamlandı.
Preparing required relationships.,Gerekli ilişkilerin hazırlanması.
Preparing required thesauri values.,Gerekli thesaurus değerlerinin hazırlanması.
Preserve,Koruma
Preserve Extension,Koruma Uzantısı
Preserve Setup Description,"Uwazi URL’nizi ve TOKEN’ınızı biliyorsanız, aşağıdaki bağlantıya tıklayın ve gerekli bilgileri girin."
Press enter to add,Eklemek için enter'a basın
Preview,Ön izleme
Preview updates automatically (300ms debounce),Önizleme otomatik olarak güncellenir (300 ms gecikme)
Preview updates when the JSON is valid.,JSON geçerli olduğunda önizleme güncellenir.
Previous,Önceki
Primary,Birincil
Primary button,Ana düğme
Primary document,Birincil belge
Primary Documents,BİRİNCİL BELGELER
Primary documents,Birincil belgeler
Priority sorting,Öncelik sıralaması
Priority sorting description,"Öncelikli sıralama olarak işaretlenen özellikler, varsayılan sıralama kriterleri olarak kullanılacaktır. Birden fazla özellik öncelikli sıralama olarak işaretlenmişse, sistem en uygun olanı seçmeye çalışacaktır. Karışık şablon türleri listelendiğinde, sistem en uygun birleşik öncelikli sıralamayı seçecektir."
Private,Özel
Private entities description,Dikkat: Seçilen varlıklar **özel** olacaktır. Yalnızca izin verilen kullanıcılar bunları görebilecektir.
Process,İşle
Process extractor,Çıkarıcıyı işle
Process selected,Seçilenleri işle
Processed,İşlendi
Processed rows,İşlenen satırlar
Processing,İşleniyor
Progress,İlerleme
Properties,Özellikler
Properties from other templates in the collection using the same label,Koleksiyondaki aynı etiketi kullanan diğer şablonlardaki özellikler
Properties from other templates in the collection using the same label.,Aynı etiketi kullanan koleksiyondaki diğer şablonlara ait özellikler.
"Properties marked as priority sorting will be used as default sorting criteria. If more than one property is marked as priority sorting the system will try to pick-up the best fit. When listing mixed template types, the system will pick-up the best combined priority sorting.","Öncelikli sıralama olarak işaretlenen özellikler, varsayılan sıralama kriterleri olarak kullanılacaktır. Birden fazla özellik öncelikli sıralama olarak işaretlenmişse, sistem en uygun olanı seçmeye çalışacaktır. Karışık şablon türleri listelendiğinde, sistem en uygun birleşik öncelikli sıralamayı seçecektir."
Property,Özellik
Property as filter description,"Bu özellik, kütüphane sonuçlarını filtrelemek için kullanılacaktır. Özelliklerin adı ve alan türü diğer varlık türlerindeki özelliklerle aynı olduğunda, filtreleme amacıyla birleştirilecektir."
property date,Tarih
property daterange,Tarih aralığı
property generatedid,Oluşturulan kimlik numarası
property geolocation,Coğrafi Konum
property image,Resim
property link,Bağlantı
property markdown,Zengin metin
property media,Medya
property multidate,Birden fazla tarih
property multidaterange,Birden fazla tarih aralığı
property multiselect,Çoklu seçim
property numeric,Sayısal
property preview,Önizleme
property relationship,İlişki
property select,Seç
property text,Metin
Property type,Özellik türü
Protection,Koruma
ProTip!,Uzman İpucu!
"Provide chart-ready data as JSON. Each series needs id, label, and a points array with
              label and value per row. Optional key on points helps stable colors.","Grafik oluşturmaya hazır verileri JSON formatında sağlayın. Her serinin bir kimlik (id), etiket ve her satırda
 etiket ile değeri içeren bir noktalar dizisi olması gerekir. Noktalarda isteğe bağlı anahtar kullanılması, renklerin sabit kalmasına yardımcı olur."
Public entities description,Dikkat: Seçilen varlıklar **herkese açık** olacaktır. Herkes bunları görebilecektir.
Public form settings description,Burada genel formun hedefini ve izin verilen şablonları yapılandırabilirsiniz
Public Form submit URL,Genel Form Gönderme URL'si
Public form URL description,"Eğer halka açık bir form oluşturduysanız ve gönderimlerin farklı bir Uwazi koleksiyonuna ulaşmasını istiyorsanız, ilgili koleksiyonun URL’sini buraya girin."
Public form whitelist description,"Sayfalarınıza Genel Formlar eklemek istiyorsanız, Genel Formların yer alması beklenen şablon kimliklerini beyaz listeye eklemeniz gerekir."
Public instance,Genel örnek
Publish,Yayınla
Publish release,Sürümü yayınla
Published,Yayınlanan
Published and unpublished entities are counted.,Yayınlanmış ve yayınlanmamış varlıklar sayılmaktadır.
QR Code,QR Kodu
Query,Sorgulama
Queued,Sırada
RAW,RAW
"Re-runs the query against your current collection. Use this after importing
                        or editing entities—not when changing chart settings (save handles that).","Sorguyu mevcut koleksiyonunuzda yeniden çalıştırır. Bunu, varlıkları içe aktardıktan
veya düzenledikten sonra kullanın; grafik ayarlarını değiştirirken değil (bu işlem kaydetme işlemiyle halledilir)."
Re-uploaded document,Yeniden yüklenen belge
Ready,Hazır
Receiving email,E-posta alma
Receiving email description,"Bir iletişim formunuz varsa, bu e-posta adresi formdan gönderilen mesajları alacak adrestir."
Recommended,Önerilen
Reference,Kaynak
References,Referanslar
references,referanslar
Refresh,Yenile
"Refresh manually when you have added data and cannot wait for the next
                        scheduled run.","Veri ekledikten sonra bir sonraki
zamanlanmış çalıştırmayı bekleyemiyorsanız, sayfayı manuel olarak yenileyin."
Refresh mode,Yenileme modu
Reject,Reddet
Reject all,Hepsini reddet
Related entities created,İlgili varlıklar oluşturuldu
Relation type,İlişki türü
Relationship,İlişki
Relationship created,İlişki oluşturuldu
Relationship Type,İlişki Türü
Relationship type,İlişki türü
Relationship type created successfully.,İlişki türü başarıyla oluşturuldu.
Relationship type name,İlişki türü adı
Relationship type name already exists,İlişki türü adı zaten mevcut
Relationship types,İlişki türleri
relationships,İlişkiler
Relationships,İlişkiler
Relationships saved,İlişkiler kaydedildi
relationships? This action cannot be undone.,ilişkiler mi? Bu işlem geri alınamaz.
RelationType saved,İlişki türü kaydedildi
Release message,Duyuru metni
Relevance,Alaka Düzeyi
remaining,kalan
remaining files,kalan dosyalar
Remote Server Unreachable,Uzak Sunucuya Erişilemiyor
Remove,Kaldır
Remove from connection,Bağlantıyı kes
Remove from training set,Eğitim kümesinden çıkar
remove icon,simgeyi kaldır
Remove icon,Simgeyi kaldır
Removed language,Kaldırılan dil
Rename,Yeniden adlandır
Renamed attachment,Ekin adı değiştirildi
Repeat Password,Parolayı yinele
Request id #,Kimlik numarası iste #
Request token,Token iste
Required,Zorunlu
Required property,Gerekli özellik
Required relationships were prepared.,Gerekli ilişkiler hazırlandı.
Required thesauri values were prepared.,Gerekli thesaurus değerleri hazırlandı.
Reset,Sıfırla
Reset 2FA,İki Adımlı Doğrulama'yı sıfırla
Reset default translation,Varsayılan çeviriyi sıfırla
Reset language,Dili sıfırla
Reset Password,Parolayı sıfırla
Reset passwords,Şifreleri sıfırla
Resize panels,Panellerin boyutunu değiştir
Restore,Geri Yükle
Restore previous version,Önceki sürümü geri yükle
Restricted,Kısıtlanmış
Retryable,Tekrar denenebilir
Retrying,Yeniden deneniyor
Return to login,Girişe dön
Review,İncele
Reviewed,İncelendi
Role,Rol
Room around every row,Her satırın çevresinde daha fazla boşluk
Route,Rota
Row,Satır
Row density,Satır yoğunluğu
Rows failed,Başarısız satırlar
Rows processed,İşlenen satırlar
Sample,Örnek
Satellite,Uydu
Save,Kaydet
Save & Preview,Kaydet ve Önizle
Save changes,Değişiklikleri kaydet
Save password,Parolayı kaydet
Save the visualization before refreshing.,Yenilemeden önce görselleştirmeyi kaydedin.
Save the visualization to get embed code.,Gömme kodunu almak için görselleştirmeyi kaydedin.
Save your work to make change permanent,Değişikliği kalıcı hale getirmek için çalışmanızı kaydedin
Saved successfully.,Başarıyla kaydedildi.
Saved with warnings,Uyarılarla kaydedildi
Saving,Kaydediliyor
Saving...,Kaydediliyor...
Scanning,Taranıyor
Scanning rows before import.,İçe aktarımdan önce satırları taranıyor.
Schedule,Program
Schedules run in UTC (Coordinated Universal Time).,Programlar UTC (Koordineli Evrensel Zaman) formatında yürütülür.
Search,Ara
"Search  •  AND, OR, NOT, ""exact"", wild*","Arama  •  AND, OR, NOT, ""tam"", wild*"
Search by title,Başlığa göre ara
Search entities...,Varlıkları ara...
Search entities…,Varlıkları ara…
Search item,Öğe ara
Search related entities or documents,İlgili varlıkları veya belgeleri arayın
Search relationships,İlişkileri ara
Search relevance,Alaka arama
Search text,Metin ara
Search text description,Sonuç almak için arama kutusuna bir şey yazın.
Search this document,Bu belgede arama yap
Search Tips,Arama İpuçları
Search tips,Arama ipuçları
Search Tips: boolean,"Boole araması için AND, OR ve NOT kullanın. Örneğin: ""status AND women NOT Nicaragua"" sorgusu, hem status hem de women kelimelerini içeren ve Nicaragua kelimesini kesinlikle içermeyen her şeyle eşleşir."
Search Tips: exact term,"Arama dizenizi tırnak içine alarak tam terim eşleşmesi yapabilirsiniz. Örneğin: ""Kosta Rika"" araması, tırnaksız Kosta Rika aramasına kıyasla farklı sonuçlar verir."
Search Tips: one char wildcard,"Tek karakterlik joker karakter için ? kullanın. Örneğin: ""198?"" araması 1980'den 1989'a kadar olan yılların yanı sıra 198a, 198b gibi sonuçlarla da eşleşir."
Search Tips: proximity,"Yakınlık araması için ~ kullanın. Örneğin: ""durum""~5 araması, ""usul durumu"" veya ""belirli hukuki durum"" gibi, ""durum"" kelimesinin en fazla 5 kelime mesafesinde geçtiği her şeyi bulur."
Search Tips: wildcard,"Joker karakter araması için * kullanın. Örneğin: ""hukuk*"" araması; hukuki, hukukçu, hukuk bilimi gibi kelimelerle eşleşir."
Search title & metadata,Başlık ve meta verileri ara
Searching...,Aranıyor...
Secondary button,İkincil düğme
Secret keys,Gizli anahtarlar
Security,Güvenlik
Select,Seç
Select & Search,Seç ve Ara
"Select a dimension to see supported chart types, or use Metric for a total count.",Desteklenen grafik türlerini görmek için bir boyut seçin ya da toplam sayıyı görmek için “Metrik” seçeneğini kullanın.
Select a document to connect to a specific paragraph,Belirli bir paragrafa bağlanmak için bir belge seçin
Select a file,Bir dosya seçin
Select all,Hepsini seç
Select an existing image,Mevcut bir resim seçin
Select favicon image,Favicon resmini seçin
Select files on your device,Cihazınızdaki dosyaları seçin
Select from computer,Bilgisayardan seçin
Select image,Resmi seç
Select media,Medya seçin
Select relationship,İlişkiyi seçin
Select relationship type,İlişki türü seç
Select site logo image,Site logosu resmini seçin
Select target document,Hedef belgeyi seçin
Select target entity,Hedef varlığı seçin
Select target paragraph,Hedef paragraf seç
Select text in target document,Hedef belgedeki metni seçin
select text or a value,metin veya bir değer seçin
Select the template to store the extracted paragraphs.,Çıkarılan paragrafları kaydetmek için şablonu seçin.
Select the template with the source documents.,Kaynak belgelerin bulunduğu şablonu seçin.
Select...,Seç...
Selected,Seçilen
selected,seçilmiş
selected of,arasından seçildi
Selected or suggested,Seçilmiş veya önerilen
Selected templates,Seçilmiş şablonlar
Send,Gönder
Send recovery email,Kurtarma e-postası gönder
Sending email,E-posta gönderme
