Key,Component,View,Context
Deleted user,Toast notification,Settings > Users & Groups,Success toast shown after deleting one or more selected users from the users table.
Deleted user group,Toast notification,Settings > Users & Groups,Success toast shown after deleting one or more selected groups from the groups table.
Deletion success,Toast notification,Library,Success toast shown after bulk-deleting the entities selected in the Library's multi-select toolbar.
Density,Menu row label,Entity view,"Label for the row-density control in the relationships display menu, hidden in graph view."
Descending,Select option label,Library,Option in the Order select within the toolbar's Display options menu.
Description,Table column header,Settings > Activity Log,"Header label for the description column in the activity log table, summarizing what each logged action did."
Deselect all,Button label,Entity view,Clears the current selection in the Entity view's Files toolbar and relationships action bar.
Direction,Dropdown option label,Entity view,"""Group by direction"" option in the relationships panel's group-by menu."
Disable,Toggle button state label,Unresolved,Text shown on a generic enable/disable toggle button when checked and hovered; the EnableButtonCheckbox component that contains it is currently not used anywhere in production code (only in its Storybook story and Cypress spec).
Disable highlights,Tooltip,Entity view,Tooltip on the button in the text-selection menu that toggles off reference highlight click handling.
Disabled 2FA,Toast notification,Settings > Users & Groups,Success toast shown after resetting (disabling) two-factor authentication for one or more users.
Discard,Button label,Unresolved,Accept button on the DirtyDiscardModal that confirms discarding unsaved changes.
Discard changes,Button label,Shared (used across 10 views),"Label on the cancel/discard button of confirmation dialogs, used in the legacy and V2 entity-sharing modals and in the generic ""unsaved changes"" navigation-guard dialog across several Settings sub-pages (Filters, Customization, Thesauri, Custom Uploads, Menu, Templates, Pages, Translations)."
Discard changes?,Modal heading,Shared (used across 8 views),"Heading of the confirmation modal shown when leaving a Settings editor (Filters, Customization, CustomUploads, MenuConfig, Thesauri, Translations, Pages, Templates) with unsaved changes."
Display entity view from page,Checkbox label,Settings > Templates,"Checkbox label enabling display of the entity view from a selected custom page, in the template editor header."
Display options,Icon button aria-label,Entity view,"Accessible label for the button that opens the relationships panel's display-options menu for grouping, sorting, and density."
Do you want disable 2FA for the following users?,Confirmation modal body text,"Settings > Users (bulk ""Reset 2FA"" action)","Literal string assigned to `confirmationModalProps.body` in `Users.tsx` (line 188), passed as `warningText` to `ConfirmationModal.tsx`, whose `renderChild` wraps string children in `<Translate>{child}</Translate>` — a dynamic variable, missed by the literal scanner."
Do you want reset the password for the following users?,Confirmation modal body text,"Settings > Users (bulk ""Reset passwords"" action)","Same pattern: literal string assigned to `confirmationModalProps.body` in `Users.tsx` (line 174), rendered via `<Translate>{warningText}</Translate>` inside `ConfirmationModal.tsx`."
Do you want to delete the following items?,Confirmation dialog message,Shared (used across 4 views),"Warning text in the confirmation modal shown before deleting selected custom uploads (also reused for pages, relationship types, and templates deletions)."
Document,Section label,Entity view,Heading used above a file's document-context badge and above full-text search snippet results.
Document contents,Section header,Library / Entity view,"Header above full-text snippet results in the document side panel's text-search tab, and above the snippet preview shown on Library entity cards."
Document OCR trigger,Toggle label,Settings > Collection,"Label for the toggle enabling the document OCR trigger service, in the Services card."
Document Title,Form field label,Shared (used across 2 views),Label for the file name input when editing a document's title in the legacy attachments file-edit form.
Document updated,Success notification,Entity view,Toast confirming the document was updated after marking the table of contents as reviewed.
documents,Counter unit label,Library,Unit label next to the total entity count shown above the map in the Library's map view.
Documents,CSV export column header,Library/Search results (CSV export),"Defined as `{ label: 'Documents', name: 'documents' }` in `app/api/csv/csvExporter.ts`'s `concatCommonHeaders`; translated server-side via `translateCommonHeaders`, which looks up `systemValues[header.label]` from the System-context translation map before writing it as a column header in the exported CSV — a backend lookup-table pattern, not a `Translate`/`t()` JSX call."
Done,Button label,Entity view,"Confirms edits in the file rename and language editor panel, saving the updated file details."
Done creating entities,Status title label,Settings > Import CSV,Short status badge title shown on the import status page once the entity-creation stage finishes.
Done creating relationships,Status label,Settings > Import CSV,Status text shown once required relationships have been created.
Done creating thesauri,Status label,Settings > Import CSV,Status text shown once required thesaurus values have been created.
Done extracting files,Status label,Settings > Import CSV,Status text shown once file extraction has finished.
Done scanning,Status label,Settings > Import CSV,Status text shown once the preflight scan has finished.
Download,Link/button label,Shared (used across 2 views),"Download action for an entity's uploaded file, shown in the legacy attachments list/side panel (Library and Entity view) and the newer Entity view file components."
Download a third-party authenticator app from your mobile store.,Instruction list item,Settings > Account,"First step in the numbered setup instructions inside the ""Using Authenticator"" card."
Download all,Button label,Entity view,"Button in the Files tab footer, shown when multiple files are selected, to download all of them."
Download failed rows,Button label,Settings > Import CSV,Footer button on the import status page that downloads a CSV of the rows that failed to import.
Draft restored from release.,Toast notification,Settings > Pages,Success toast shown after confirming Restore in the restore-version modal of the Page Editor.
Drag and drop file in this window to upload,Instructional text,Shared (used across 2 views),Helper text in the attachments upload modal's drop zone telling the user they can drag a file to upload it.
Drag row,Icon button label,Shared (used across many views),"Screen-reader label on the drag handle used to reorder rows, shared between the entity Files data table and the legacy Table component used across many Settings list pages."
Drop your files here to upload or,Instruction text,Pages,Label inside the drag-and-drop zone of a public entity submission form.
Duplicate values not allowed.,Error message,Entity view,Validation error in the add-thesaurus-value modal when the entered value already exists.
Duplicated email,Form field validation error,Settings > Users > Add/Edit user sidepanel,"Returned by `getFieldError('email', 'isUnique')` in `UserFormSidepanel.tsx`, passed as `errorMessage` to the email `InputField`, whose `InputError` component wraps string children in `<Translate>{children}</Translate>` — shown when the email fails the uniqueness check."
Duplicated name,Validation error text,Unresolved,"Inline validation error shown under the relationship-type name field when the entered name already exists, in the same unwired ""Add relationship type"" modal."
Duplicated username,Form field validation error,Settings > Users > Add/Edit user sidepanel,"Same mechanism: `getFieldError('username', 'isUnique')` in `UserFormSidepanel.tsx` feeds into `InputError`'s dynamic `<Translate>{children}</Translate>`, shown when the username fails the uniqueness check."
Duration,Field label,Entity view,Label above the playback duration shown on a FileCard for audio/video attachments in the entity Files list.
e.g.,Example-prefix label in a tips popover,Entity view,Precedes the sample query shown at the bottom of the relationship search tips popover.
Each series uses the template brand color when comparing data sources.,Helper text,Settings > Data Visualizations,"Hint explaining per-template brand coloring for multi-source charts, in the Appearance section of the Dataviz editor."
Earlier,Section label,Unresolved,"Section header for older notifications, alongside ""Today"", in the Notifications panel."
Edit,Button label,Shared (used across 12 views),"Generic edit action button used across metadata forms, tables, and settings screens throughout the app."
Edit at source,Icon button title (tooltip),Entity view,"Title attribute on the pencil icon button in a connected-entity row of the relationship field editor, opening that entity for editing."
Edit Extractor,Button label / modal heading,Settings > Metadata extraction,"Footer button on the dashboard that opens the extractor modal to edit the selected extractor, and the modal's heading while editing."
Edit File,Sidepanel title,Settings > Custom Uploads,Title of the sidepanel opened to rename a custom upload file.
Edit group,Sidepanel title / Button label,Settings > Thesauri,Title and submit button label of the sidepanel used to edit an existing thesaurus group.
Edit item,Sidepanel title,Settings > Thesauri,Title of the sidepanel shown when editing an existing thesaurus item.
Edit metadata of entities,Permission matrix table cell,Settings > Users > Permissions modal,"Listed as an `action` field value in `PermissionsListModal.tsx`'s static rows array, rendered via `<Translate>{cell.getValue()}</Translate>` in the same permissions table as ""Delete entities and documents""."
Edit theme,Button label,Settings > Collection,Button on the theme card that opens the theme and branding sidepanel.
Edit user,Sidepanel title,Settings > Users & Groups,Title of the sidepanel shown when editing an existing user.
Edited,Label in metadata line,Entity view,Prefix before the entity's last-edited date/time in the same system dates line.
editor,Role status pill,Settings > Users (user list table),"Rendered via `<Translate>{value}</Translate>` in `RolePill` (app/react/V2/Routes/Settings/Users/components/TableComponents.tsx), where `value` is `user.role` ('admin'/'editor'/'collaborator') — a dynamic variable, not a literal."
Editor,Table column header and option label,Settings > Users & Groups,Column header for the editor permission level and the editor option in the user role selector.
Editors,Stat label,Settings > Dashboard,Label next to the editor user count in the Users card's breakdown row.
Email,Form field label,Login,"Label for the email field on the login page's password recovery form, also used on the contact form widget and Settings account forms."
Embed,Section heading,Settings > Dataviz > Embed panel,"Heading of the sidebar panel with embed and sharing options, shown in both the saved and unsaved states."
Embed in pages,Section label,Settings > Dataviz > Embed panel,Label above the copyable snippet for embedding the chart inside a Uwazi page.
Empty,Screen-reader-only column label,Unresolved,Hidden accessible label for the drag-handle and group-toggle columns in the shared Table component used by several reorderable/groupable Settings tables.
Empty group. Drop here to add,Table placeholder message,Unresolved,"Placeholder row text shown for an empty group when drag-and-drop reordering is enabled, in the shared Table component."
Enable,Button label,Settings > Account,"Label on the button that opens the 2FA setup sidepanel, and on the button inside that sidepanel that submits the verification code to turn 2FA on."
Enable public embedding to use this chart in external sites on private instances.,Helper text,Settings > Dataviz > Embed panel,Message shown instead of the iframe snippet when public embedding is not yet enabled on a private instance.
Enable this page to be used as an entity view page:,Toggle label,Settings > Pages,Text beside the toggle switch in the Configuration tab that marks the page as an entity view page.
Enter the 6-digit verification code generated by your Authenticator app,Input field label,Settings > Account,Label for the input where the user types the verification code from their authenticator app to confirm setup.
"Enter the full username, email, or group name. Suggestions are not shown.",Helper text,Entity view,Hint text revealed under the lookup input in the Share modal when the info toggle is opened.
Enter your current password to confirm,Label (password field),Settings > Account / Settings > Users,"Label for the password field in the confirmation modal shown when a sensitive action, such as changing your own account email or removing a user, requires re-entering the current password."
entities,Text label,Shared (used across 4 views),Text label showing the entity count in the template editor's progress bar and in the toast fired while property changes are applied across existing entities.
Entities,Table column header / field label,Settings > Templates,Header for the entity-count column in the matching-properties table and the field label for choosing which entity type a relationship property points to.
entities · generated,Caption text,Settings > Dataviz > Preview panel,"Small caption under the chart preview showing total entity count and generation timestamp, e.g. ""42 entities · generated <date>""."
Entities across all languages,Card subtext,Settings > Dashboard,"Descriptive caption under the entity count in the Entities card, explaining it includes all languages."
Entities created,Stat label,Settings > Import CSV,Column header in the imports table and stat-card label on the import status page for the count of created entities.
Entities updated,Stat label,Settings > Import CSV,Column header in the imports table and stat-card label on the import status page for the count of updated entities.
Entity,Side panel title,Settings > Paragraph Extraction,"Heading of the side panel that opens when viewing a paragraph's source entity, in ViewParagraphSidePanel.tsx."
Entity creation stage completed.,Status description text,Settings > Import CSV,Description line on the import status page once the entity-creation stage finishes.
Entity deleted,Toast notification,Library,Success notification shown after an entity or document is deleted from the Library.
Entity Page,Table column header,Settings > Pages,Header of the column in the Pages list table showing a Yes/No pill for whether a page is an entity view.
Entity saved,Toast notification,Entity view,Success toast shown after saving changes from the legacy standalone Entity view page.
Entity scope,Section heading,Settings > Data Visualizations,Heading over the published/unpublished entity-scope options in the Dataviz editor's Data section.
Entity type,Field label,Entity view,Label above the grid of template buttons used to pick the type for a newly created entity.
Entity types,Section title / field label,Settings > Filters,"Card title and multi-select field label in the Add/Edit group sidepanel, used to pick which entity types belong to a filter group."
Entity updated,Success notification,Library,Toast shown after successfully saving changes to a single entity in the Library.
Error,Status label / checkbox label,Settings > Metadata extraction,"Label for the error state, used in the process status message, the filter checkboxes, and the current-value cell when a suggestion failed to process."
Error adding thesauri.,Toast notification (error),Settings > Thesauri,Error toast shown when importing a thesaurus file in the editor fails.
Error loading your image,Error message,Entity view,Shown in place of an image metadata value that fails to load.
Error saving template.,Toast notification,Settings > Templates,Error toast shown when saving a template fails for a reason other than the entity-count reindex conflict.
Error updating thesauri.,Toast notification (error),Settings > Thesauri,Error toast shown when saving changes to a thesaurus fails.
evidence,Tooltip label,Entity view,Unit label after the evidence count in a relationship graph node's hover tooltip.
exact phrase,Code example,Entity view,Quoted code example illustrating exact-phrase search syntax in the search-tips popover.
Expand all,Button label,Shared (used across 7 views),"Generic ""expand all"" control on the relationships tab of the document/entity side panel and Library filters panel, also reused to expand grouped rows in several V2 Settings tables (Filters, Thesauri, Menu Config, Paragraph Extraction, Metadata extraction)."
Expand All,Button label,Entity view,Button in the ToC header that expands all table-of-contents entries with children.
Export CSV,Button label,Library,Label on the Library footer button that opens the CSV export flow for the current search results.
Exporting entities to CSV,Modal heading,Library,Heading of the captcha modal shown before exporting entities to CSV for unauthenticated users.
Extension Token,Input field label,Settings > Preserve Extension,Label on the copy-to-clipboard input that displays the user's generated Preserve extension token.
External embed,Section label,Settings > Dataviz > Embed panel,"Label above the section for embedding the chart on external, non-Uwazi sites via iframe."
Extract new paragraphs,Button label,Settings > Paragraph Extraction,Footer button on the entities dashboard that starts extraction of newly found entities.
Extract paragraphs,Button label,Settings > Paragraph Extraction,Button that opens the confirmation dialog to extract paragraphs from selected entities.
Extracting files,Status label,Settings > Import CSV,Status text shown while files are being extracted from an uploaded ZIP package.
Extracting files from uploaded package.,Status description,Settings > Import CSV,Description shown on the import status page while files are extracted from the uploaded package.
Extraction configuration,Wizard step title,Settings > Paragraph Extraction,Title of the third (final) step of the create-extractor wizard.
Extractor name,Input placeholder,Settings > Metadata extraction,Placeholder text in the name field at the top of the Extractor modal.
Extractor Name,Table column header,Settings > Metadata extraction,Column header in the extractors table listing the name of each metadata extractor.
Extractor/s deleted,Toast notification,Settings > Metadata extraction,Success toast shown after deleting one or more extractors from the Metadata extraction dashboard.
Extractors,Table title,Settings > Metadata extraction,Header title above the table listing configured extractors on the Metadata extraction dashboard.
Failed,Status label,Settings > Import CSV,"Column header and failed-count summary label in the imports table, and the status text shown when an import fails."
Failed to mark table of contents as reviewed,Error notification,Entity view,Toast shown when marking the table of contents as reviewed fails.
Failed to save table of contents,Error notification,Entity view,Toast shown when saving edits to the table of contents fails.
Failure details,Section heading,Settings > Import CSV,"Heading above the failed-rows section on the import status page, and the title of the errors table itself."
Favicon description,Tooltip,Settings > Collection,Tooltip on the Custom Favicon field explaining how to upload and select a favicon.
Favicon no images hint,Empty-state message,Settings > Collection,Hint shown in the favicon picker's gallery when no uploaded images fit the favicon size requirements.
FEATURED,Toggle switch label,Library,Left-side label of the switch that filters the document-types list to only the collection's featured/configured types.
file,Count unit label,Entity view,Singular unit word used in file-count labels above the primary and supporting file lists.
File,Side tab label,Entity view,Label of the side tab shown when viewing a single file's details under the Files main tab.
File deleted,Toast notification,Shared (used across 2 views),"Success toast shown after deleting a document file from an entity, triggered from the legacy attachments/documents panel used in both Library preview and Entity view."
File details,Section heading,Entity view,Header label on the card that shows metadata for the file selected in the entity's file panel.
File extraction completed successfully.,Status description,Settings > Import CSV,Description shown on the import status page after file extraction completes.
File name,Input field label,Settings > Custom Uploads,Label of the filename text input inside the Edit File sidepanel's General Information card.
File preview unavailable,Empty state message,Entity view,Message shown in the file preview pane when the selected file has no URL to display.
File updated,Toast notification,Settings > Custom Uploads,Success toast shown in the Edit File sidepanel after a custom upload's filename is saved.
files,Count unit label,Entity view,Plural unit word used in file-count labels above the primary and supporting file lists.
Files,Card title,Settings > Dashboard,Title of the card showing total file count on the dashboard.
Files and database usage,Card subtext,Settings > Dashboard,"Descriptive caption under the storage size figure in the Storage card, explaining what it measures."
Fill,Radio option label,Settings > Templates,Label for the 'cover' style radio option when configuring an image or preview property; also shown as a summary pill in the properties table.
Filter,Field label,Settings > Data Visualizations,Label on each filter row in the Filters section of the Dataviz editor's Data tab.
Filter unauthorized relationships,Tooltip,Settings > Collection,Tooltip on the toggle that hides relationships pointing to restricted entities from anonymous users.
Filters,"Shared label (button, heading, side panel title)",Shared (used across 6 views),"Generic filter-controls label appearing on filter toggle buttons, drawer headers, side panels, and the Settings navigation menu."
Filters AND operator,Toggle label,Library,Left-hand label on the AND/OR switcher control in the Library's Assignee/Select/Template filters.
Filters configuration,Section heading (with icon),Settings > Filters,"Heading text at the top of the info banner on the Settings > Filters page, introducing the filter configuration instructions."
Filters configuration description,Instructional paragraph,Settings > Filters,First line of body text in the info banner on Settings > Filters explaining how entity-type filters work in the library.
Filters configuration example,Instructional list item,Settings > Filters,"Second bullet in the info banner's instructions, explaining that ""Add group"" groups filters under a label."
Filters OR operator,Toggle label,Library,Right-hand label on the same AND/OR switcher control in Library filters.
Filters saved,Toast notification,Settings > Filters,Success toast shown after a user saves changes to the filters table.
Find suggestions,Status label,Settings > Metadata extraction,Status text shown when an extractor is idle and ready to search for new suggestions.
Find suggestions after training,Checkbox label,Settings > Metadata extraction,Checkbox in the Train model modal that triggers finding suggestions automatically once training finishes.
Find suggestions for,Checkbox label,Settings > Metadata extraction,"Checkbox in the Process extractor modal that toggles finding new suggestions before processing, paired with an amount field and status filters."
Find suggestions for selected,Checkbox label,Settings > Metadata extraction,"Fixed, checked checkbox label shown in the Process extractor modal when suggestions are requested for a chosen set of entities."
Finding suggestions,Progress status message,Settings > Metadata extraction,Progress label shown while the system searches for new suggestions after training.
Fit,Radio option label,Settings > Templates,Label for the 'contain' style radio option when configuring an image or preview property; also shown as a summary pill in the properties table.
Flag,Field label,Entity view,"Label alongside ""Icon"" identifying the flag option in the icon field."
for,Label text,Entity view,"Text in the search results count line above snippet results, reading ""N matches for ""term""""."
For all entities,Radio button label,Settings > Metadata extraction,"Radio option in the Process extractor modal letting auto-accept overwrite values on every entity, not only blank ones."
For entities with blank values,Radio button label,Settings > Metadata extraction,Radio option in the Process extractor modal limiting auto-accept overwrite to entities that currently have no value.
Forgot Password or Username?,Link/tooltip text,Login,Clickable text (and its title tooltip) on the Login form that switches to the password-recovery flow.
Forms and email configuration,Card section heading,Settings > Collection,Title of the card holding email and public form settings.
From,Field label / sr-only label,"Entity view, Library, Settings > Activity Log","Labels the start value of a date or number range, used in metadata date display, the library numeric facet filter, and the activity log date filter."
From all suggestions,Radio button label,Settings > Metadata extraction,"Radio option in the Process extractor modal that auto-accepts from all existing suggestions, not just newly found ones."
From previous step,Radio button label,Settings > Metadata extraction,Radio option in the Process extractor modal that auto-accepts suggestions found during this run's search step.
From selection,Filter chip label,Entity view,Label on the active-filter chip shown when the relationships panel is filtered to items derived from the user's current selection.
From:,Label,Entity view,Label preceding the quoted text preview shown under the modal title when creating a relationship from a text selection.
Full mode,Toggle button label,Settings > Theme and branding,Switches the theme color editor into full/advanced mode exposing all semantic color variables.
Full width,Checkbox label,Settings > Templates,Checkbox label for displaying a media property using the full available width; also shown as a summary pill in the properties table.
General,Card section heading,Settings > Collection,"Title of the first settings card holding collection name, favicon, default view and other general options."
General access,Section heading,Entity view,"Heading over the segmented control (Private/Published) in the entity Share modal, doubling as its aria-label."
General Information,Card heading,Shared (used across 4 views),"Title of the card in the Account page containing the username, role and email fields."
Generated ID,Checkbox label,Settings > Templates,Checkbox label for the title property setting that uses a generated ID as the default title; also shown as a summary pill in the properties table.
Global CSS,Navigation link,Settings,"Admin sidebar link to the customisation page, shown instead of ""Global CSS & JS"" when custom JS is not allowed."
Global CSS & JS,Navigation link,Settings,"Admin sidebar link to the customisation page, shown instead of ""Global CSS"" when custom JS is allowed for the collection."
Global JS,Toggle label,Settings > Collection,Label for the toggle allowing custom global JavaScript to run on the site.
Google,Input field label,Settings > Collection,"Label for the field entering the Google Analytics tracking ID, in the Analytics card."
Group,Button or label,Shared (used across 4 views),"Generic grouping control reused on tables, menus, and thesaurus editors."
Group by,Menu row label,Entity view,Label for the control in the relationships display menu that sets how related entities are grouped.
group expressions,Legend list item in a tips popover,Entity view,"Row in the relationship search bar's tips list explaining the ""( ... )"" syntax for grouping boolean terms."
Group Options,Card title,Settings > Users & Groups,Title of the card in the group sidepanel that contains the group name field.
Group saved,Toast notification,Settings > Users & Groups,Success toast shown after creating a new group.
Group updated,Toast notification,Settings > Users & Groups,Success toast shown after saving changes to an existing group.
Grouped geolocation properties,Metadata field group title,Entity view (Metadata tab) and relationship overlay preview,"Rendered via `<Translate>{GROUPED_GEOLOCATION_LABEL}</Translate>` in `app/react/V2/Components/Metadata/Components/metadataFieldTitle.tsx`, a module constant swapped in as the field title whenever a geolocation property has a `propertyGroup`."
Groups,Tab label and table header,Settings > Users & Groups,Tab label and table header for the groups list on the Users & Groups page.
Header and button preview,Preview subtitle,Settings > Theme and branding,Subtitle text under the brand name in the mock header bar of the theme editor's live preview.
Header bar active background,Color picker row label,"Settings > Collection > Theming (Advanced Colors, ""Chrome header"" section)","Value in the `CHROME_VAR_LABELS` lookup map (app/react/V2/theme/themeChromeOverrides.ts), rendered via `<Translate>{CHROME_VAR_LABELS[key]}</Translate>` in `ThemeAdvancedColorsSection.tsx`."
Header bar background,Field label,Settings > Theme and branding,Label for the color picker controlling the top app bar's background color in the simple theme color editor.
Header bar divider,Color picker row label,"Settings > Collection > Theming (Advanced Colors, ""Chrome header"" section)",Same `CHROME_VAR_LABELS` map/consumption as above — one of the theme chrome-override variable labels rendered dynamically via `Translate`.
Header bar hover background,Color picker row label,"Settings > Collection > Theming (Advanced Colors, ""Chrome header"" section)",Same `CHROME_VAR_LABELS` map/consumption as above.
Header bar text,Color picker row label,"Settings > Collection > Theming (Advanced Colors, ""Chrome header"" section)",Same `CHROME_VAR_LABELS` map/consumption as above.
help,Link label,Library / Entity view,"""help"" link in the Markdown property editor's toolbar, pointing to GitHub's Markdown guide."
"Hi, I'm Bert.",Welcome heading,AI Assistant (Bert) panel,Greeting heading shown in the Bert modal when there is no conversation yet.
Hide actions,Button label,Library,Button that collapses the Library footer's action buttons on smaller screens.
Hide details,Toggle button label,Global,"Label on a ""collapse"" toggle button, used both on the generic error page's stack-trace section and in the notification drawer's detail section."
Hide label,Checkbox label,Settings > Templates,"Label of the checkbox that hides a property's label when displayed, in the property editor panel."
Hide restricted relationships from public,Toggle label,Settings > Collection,Label for the toggle that hides relationships to restricted entities from public users.
Hide toolbar,Button label,Library,Button in the Library header that collapses the search/sort/view toolbar on mobile.
HTML,Tab label,Settings > Pages,Label of the tab in the Page Editor for writing the page's HTML content.
https://yourdomain,Input prefix text,"Settings > Collection (""Custom landing page"" field)","Passed as the `preText` prop on `InputField` in `Collection.tsx`; `InputField.tsx` renders it directly as `<span>{preText}</span>` — a literal string bypassing the `t()`/`Translate` mechanism entirely, so it's genuinely on-screen but invisible to literal-call scanning."
hub,Badge label,Entity view,"Small badge next to a collapsible relationship row indicating it represents a multi-party ""hub"" relationship."
hubs,Pagination text,Entity view,"Word in the ""X of Y hubs"" pagination caption shown above the ""load more"" button in the relationships editor."
Hybrid,Multi-select option label,Settings > Collection,"Option in the Map Layers multi-select, under the Map card, selecting the hybrid map tile style."
Icon,Field label,Entity view,Label over the icon picker in the entity icon/flag field.
"If an account exists with the email you provided, you will receive an email
                        with instructions to reset your password.",Confirmation message,Login,"Message shown after submitting the forgot password form, confirming a reset email was sent if the account exists."
"If it is an external URL, use a fully formed URL. Ie. http://www.uwazi.io.",Info banner text,Settings > Menu,Explanatory text in the info banner of the link form describing how to enter external URLs.
"If you want to continue, please type",Modal instruction text,Global navigation,"Text in the confirmation modal's extra-confirm step, prompting the user to type a confirmation word before a destructive action proceeds."
Image doesn't match the required size.,Validation error message,Settings > Collection,Error prefix shown when a selected or uploaded image fails the dimension rule for a favicon or logotype.
Import,Button label,Settings > Thesauri,Button that opens a hidden file picker to import thesaurus values from a file.
Import asset,Button label,Settings > Custom Uploads,"Primary button in the table footer that opens the upload dropzone modal, whose header also reuses this label."
Import CSV,Button label,Settings > Import CSV,"Footer button on the CSV imports list that opens the upload modal, and the title shown at the top of that modal."
Import failed. Review details below.,Status description text,Settings > Import CSV,"Description line shown on the import status page when the import fails, pointing to the failure details section."
Import finished successfully.,Status description text,Settings > Import CSV,Description line shown on the import status page when the import completes successfully.
Import finished with errors. Review details below.,Status description text,Settings > Import CSV,"Description line shown on the import status page when the import finished with row failures, pointing to details below."
Import is currently processing rows.,Status description text,Settings > Import CSV,Description line on the import status page shown while entities are being created or an active import is processing rows.
Import is retrying after an error.,Status description text,Settings > Import CSV,Description line on the import status page while the import retries after an error.
Import theme instance file,Button label,Settings > Theme and branding,Button in the theme editor's advanced section that opens a file picker to import a theme JSON file.
Import was cancelled.,Status description text,Settings > Import CSV,Description line shown on the import status page when the user cancels the import.
Imported translations from file,Activity-log description text,Settings > Activity Log (Description column),"Value of the `desc` field for the `POST/api/translations/import` action in `app/api/activitylog/activitylogParser.ts`; consumed as `semantic.description` and rendered via `<Translate className=""font-semibold"">{semanticData.description}</Translate>` in `ActivityLog/components/TableElements.tsx`."
in,Inline connector text,Library,Short connector word appended after a metadata connection's label in an entity's connections list.
"In a group, either all relationships must have a hub or none of them.",Toast/error notification,"Entity/Library ""Connections"" (legacy relationships hub editor)","Backend validation message thrown via `createError(...)` in `app/api/relationships/relationships.js` (400 status); surfaced to the user through the generic API error handler in `app/react/utils/api.js`, which calls `t('System', error.json.error, null, false)` on the raw server error text."
In OCR queue,Status label,Entity view,Status text shown on the OCR button while a file is queued/processing for OCR.
In use,Status badge,Entity view,Small badge next to a relationship type's name indicating it is used in a template.
Include all entities,Radio option label,Settings > Data Visualizations,"Option to count both published and unpublished entities, in the Entity scope section."
Include only public,Radio option label,Settings > Data Visualizations,"Option to count only published entities, in the Entity scope section."
Incoming,Relationship direction icon label,Entity view (Relationships/connections panel row),"Value in the `directionTitles` lookup map in `app/react/V2/Routes/Entity/Components/relationships/rows/DirectionGlyph.tsx`, passed through `t('System', directionTitles[direction], null, false)` and used as the icon's `title`/`aria-label`."
Info,Tab label/tooltip,Shared (used across 2 views),"Label and tooltip for the Info/metadata tab of an entity or document's side panel, shown in Library and Entity view."
Information extraction training,Activity-log description text,Settings > Activity Log (Description column),"Same mechanism as ""Imported translations from file"" — value of the `desc` field for `POST/api/suggestions/train` in `activitylogParser.ts`, rendered via `semanticData.description` in `TableElements.tsx`."
Inherit property,Dropdown label,Settings > Templates,"Label above the select dropdown for choosing an inherited property, shown once a relationship's related template is selected."
Inherit type,Table column header,Settings > Templates,Column header in the matching-properties table showing the inherited property type configured for relationship properties.
"Inherited values are read-only. Change the connection above, or edit the source entity.",Helper text,Entity view,Explanatory note shown below a relationship field in the entity metadata editor when its values are inherited (read-only) from a connected source entity.
inherits,Inline caption text,Entity view,Part of the small caption under a relationship value showing which property labels are inherited from the connected entity.
Input,Section subheading,Settings > Metadata extraction,Subheading in step 2 of the Extractor modal above the display of the chosen source property.
Input type,Section heading,Settings > Data Visualizations,Heading over the Query/Manual data-source choice in the Dataviz editor's Data section.
Install,Button label,Settings > Languages,Confirm button in the install-languages modal that installs the selected languages.
Install Language(s),Button label / Modal heading,Settings > Languages,"Footer button that opens the install-languages modal, whose title repeats the same label."
Install the browser extension.,Instruction list item,Settings > Preserve Extension,"Step 1 of the setup instructions, telling the user to install the Preserve browser extension."
Installing languages,Background task notification,Settings > Languages,Status message shown while the language-install background task is running.
"Instructions on how to achieve this will vary according to the app used, please refer to the app's documentation.",Help text,Settings > Account (Two-Factor Authentication setup),"Literal text inside `<Translate>` in `app/react/V2/Routes/Settings/Account/Components/TwoFactorSetup.tsx`, but the sentence is prettier-wrapped across two source lines; the scanner's literal-line matching missed the multi-line JSX text node."
Instructions to reset password,Toast notification,Login,"Success toast shown after requesting a password-reset email from the Login page's ""forgot password"" flow."
Instructions to reset the password were sent to the user,Toast notification,Settings > Users & Groups,Success toast shown after triggering a password reset for one or more users.
Invalid captcha,Error notification,Library,Toast shown when the captcha entered in the CSV export modal is wrong.
Invalid csv: all the values for a row must be either nested or non-nested,Toast/error notification,Settings > Thesauri (CSV import),"Backend error thrown via `createError(..., 400)` in `app/api/csv/importThesauri.ts`; surfaced via the generic error handler in `app/react/utils/api.js` (`extractMessageFromValidation` → `t('System', error.json.error, null, false)`)."
Invalid csv: nested value need to be under a non-nested value,Toast/error notification,Settings > Thesauri (CSV import),"Same generic error-handling path as above, for the corresponding `createError(..., 400)` call in `importThesauri.ts`."
Invalid form,Error toast,Entity metadata form,"Error toast shown when the entity metadata form fails validation on submit, in the Library ""add entity"" and Entity/document edit forms."
Invalid URL,Validation error message,Entity view,Error shown in the media picker modal when the pasted URL fails validation.
It could also very easily break the app. Only write code here if you know exactly what you are doing.,Warning/help text,Settings > Collection (Global JavaScript / custom code section),"Literal text inside `<Translate>` in the `globalJS` export of `collectionSettingsTips.tsx`, wrapped across two source lines (matching the key's embedded-newline JSX text, missed by single-line literal scanning)."
it has been logged with request id #,Error toast notification message fragment,Global,"Text appended to the generic error notification with the server's request id, so the user can reference it when reporting the issue."
